"Nyx","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Nyx_","0054","Nyx_0054","","","","Ти повернувся додому.","","",""
"Integrated","Nyx_","0055","Nyx_0055","","","","Ти вдома.","","",""
"Integrated","Nyx_","0056","Nyx_0056","","","","Радісне видовище.","","",""
"Darren","Nyx_","0057","Nyx_0057","","Humming Hades Theme riff. Like it's something she sings while working, like a mom doing jobs around the house.","","Хмм, хммм, хмм-хмммм.... хмм, хмм, хммм-ммм-ммм-ммм-ммм, мммм....","","",""
"Unused","Nyx_","0067","Nyx_0067","Story Conversation 2 - Athena","","","Скажи-но мені ось що, дитино. Чи богиня Афіна, була вірна своєму слову, своїй готовності надати тобі підтримку?","","",""
"Integrated","Nyx_","0068","Nyx_0068","follows previous","","Zag: She has, Nyx. I am grateful that you put us into contact, and explained to her the situation that I'm in.","Я рада це чути. Зрідка Олімпійці зв'язуються з народженими в Підземному Царстві, проте, твої обставини здаються належною причиною зробити виняток. Вона стане сильним союзником.","","",""
"Integrated","Nyx_","0074","Nyx_0074","To Megaera Conversation 1","Real talk with Megaera, reassuring her. Here we see that Nyx is caring for more than just Zagreus and will not take sides in a dispute, but will share her empathy and compassion evenly.","","Кожен з нас має свої зобов'язання в цьому Домі, доню. Цьому нема чого соромитися. І допоки твої сестри відсутні, ти несеш їх тягар відповідальності, також.","","",""
"Integrated","Nyx_","0076","Nyx_0076","To Megaera Conversation 2","Woman-to-woman talk with Megaera; doling out sage advice. We miss the first part of this conversation because we're eavesdropping, but they're talking of professional matters.","","...а отже, на кого ще можна покластися...? Хоча, я закликаю тебе заглянути всередину себе, доню. Твій робочий підхід життєво важливий для заключного результату.","","",""
"Integrated","Nyx_","0079","Nyx_0079","Megaera Conversation 3","She finds this delightful because she senses some insinuation here. She is suggesting Meg is adopted or not her daughter in a traditional sense. This is also a rare time we hear her ghostly laughter.","Zag: 'Nyx, this may be awkward, but, is Megaera your real daughter...? I was just, kind of wondering.'","Хах, хаха. Вона для мене така ж донька, як і ти моє дитя, дитино. Я сама ніч. Окрім цього, я більше не в змозі пояснити. Хоча, я приємно здивована бачити покращення відносин між вами обома останнім часом.","","",""
"Unused","Nyx_","0081","Nyx_0081","To Hades Conversation 1","Speaking subserviently to Hades.","Hades: 'You are not to aid him in these matters, Nyx. Do we have an understanding?'","Ми порозумілися, Володарю. Я віддана цьому царству і цьому Дому. І я завжди залишатимусь в боргу перед вами.","","",""
"Unused","Nyx_","0082","Nyx_0082","To Hades Conversation 2","Standing firm, sticking up for herself vs. Hades, matching him pound for pound.","Hades: 'I know that you are helping him. What do you expect me to do about this, Nyx? Deception, in my very house and home.'","Мої відносини з ним залишаються незмінними, володарю. Він має мою повну підтримку, і завжди її матиме. Ви повинні про це знати. Він має бажання піти. Я не робитиму жодних спроб його зупинити.","","",""
"Integrated","Nyx_","0090","Nyx_0090","Alt Intro","","","Не впадай у відчай, та не втрачай своєї рішучості, дитино. Скажи мені ось що; чи богиня Афіна, залишилась вірною свому слову, у своїй готовності надати тобі підтримку?","","",""
"Integrated","Nyx_","0091","Nyx_0091","Alt Intro (Redo)","","","Не впадай у відчай, дитино. Такі невдачі невідворотні, і долаються зусиллями та з часом. Проте, скажи-но мені, чи богиня Афіна, чи була вона вірна своєму слову?","","",""
"Integrated","Nyx_","0092","Nyx_0092","","","She has, Nyx. I am grateful that you put us into contact, and explained to her the situation that I'm in. I know you took a considerable risk in reaching out.","Це найменше, що я могла зробити. Олімпійці зазвичай не плутаються у справах Підземного Царства, проте, твої обставини здаються належною причиною зробити виняток. Вони стануть сильними союзниками. Але не давай їм знати більше, ніж те що їм вже відомо. Заради всіх нас.","","",""
"Integrated","Nyx_","0096","Nyx_0096","","","No, Nyx, please, it's... quite all right. You may not have given birth to me, but you still cared for me. I never doubt that. Likewise, is it... is it all right that I refer to you by name?","Все більш ніж гаразд, моє дитя.","","",""
"Integrated","Nyx_","0099","Nyx_0099","About Persephone 2","","Nyx, if I can ever make my way from here, out to the surface... how do you know that I can find her? The instructions you gave me... how can you know for sure that's where she is, that she hasn't left, or...?","Твоя мати була енергійною жінкою. Що я можу сказати тобі, дитино? Я дбала про неї у її скрутному становищі. Коли вона покинула нас, я викривила для неї світло, приховуючи її шлях, хоча я сама могла його бачити. Я вірю, що розповідаючи тобі про це зараз я не зраджу її довіру.","","",""
"Integrated","Nyx_","0107","Nyx_0107","","Thoughtful modesty.","Megaera: ...Thank you for the advice, Nyx. I don't know what I'd do without you. Or what this House would be if not for you.","Ми всі робимо те, що в наших силах.","","",""
"Integrated","Nyx_","0115","Nyx_0115","","","What, Father can't control the pest problem? Never thought I'd be of any help rampaging through the upper levels of his domain.","Роби що мусиш. Твоя перемога в межах досяжності.","","",""
"Integrated","Nyx_","0133","Nyx_0133","","Not meant to be sinister, just matter-of-fact and polite.","I will. I promise, Nyx. And if there's anything you ever need that I can do, well... please, just ask of me.","Я знаю де тебе знайти, Мегеро.","","",""
"Integrated","Nyx_","0135","Nyx_0135","","","I hope that you are right. You always have been, it's just that... I wish I had your confidence in this.","Бери, якщо хочеш.","","",""
"Integrated","Nyx_","0137","Nyx_0137","","","I understand, and I will do my best. Thank you for taking care of everything. I've every faith in you, Mother. And in this House. Farewell.","Прощавай.","","",""
"Integrated","Nyx_","0138","Nyx_0138","With Thanatos Chat -- Matters of the Heart","Thanatos is asking about whether he's reading his relationship with Zagreus correctly, and whether his mother approves. She says he is, and she does.","Thanatos: You would know best about this, Mother, so, please, tell me what you think. Because if I am wrong...","Я вірю, що ти не помиляєшся, мій сину. Я вірю що ти не помиляєшся. А, щодо того, що я думаю... мене тішить, що твоє становище змінилося на краще, останнім часом. Адже ти так тяжко працюєш.","","",""
"Integrated","Nyx_","0139","Nyx_0139","","","What does work have to do with anything? Other than, all this really is quite the distraction from it.","Відволікатись від роботи, хоча б час від часу, приносить свої плоди, Танатосе. Ти можеш виявити, що твої роботі це піде на користь в довгостроковій перспективі. Хоча, якби це був твій єдиний пріоритет, ми б про це не говорили зараз.","","",""
"Unused","Nyx_","0140","Nyx_0140","First Clear","","","Твій батько пав перед тобою, як колись його батько перед ним. Хоча, ти був суттєво милосердніший, здається, оскільки він зараз тут. Я знаю що це перемога з гірким присмаком, в найкращому випадку.","","",""
"Unused","Nyx_","0141","Nyx_0141","","","Oh, I don't know, it honestly felt pretty high up there as victories go. The only shame is cutting Father down to size changes so little around here on its own. He's going to pretend like everything is still OK.","Якщо ти можеш перевершити його, хоча б раз, тоді ти маєш потенціал досягти своєї справжньої мети. Не те щоб я колись у тобі сумнівалась, але... я знаю яких сил тобі вартувало, дійти так далеко.","","",""
"Unused","Nyx_","0173","Nyx_0173","","","I have to say, and I do mean this as a compliment: it's hard for me to imagine Night Incarnate herself fashioning these little keepsakes to be given between friends.","Не суди їх помилково, по невибагливому зовнішньому вигляду. Бо вони є каталізаторами надзвичайної сили. Незламного зв'язку між двома поєднаними душами.","","",""
"Integrated","Nyx_","0181","Nyx_0181","","Tender moment between foster mother and son.","Well, I mean every word. I love you, Nyx.","Я тебе теж люблю, моє дитя.","","",""
"Integrated","Nyx_","0201","Nyx_0201","","Telling Dusa as she leaves. Subtext is: ""Don't screw up again.""","What, I, Miss Nyx, you mean... like, start right now? Now now? I mean, I, I don't have a lot of pressing obligations, so, I'll do it, YES!! I accept! I'm so excited to be back! Where do I even start, I can survey the lounge, sweep the cobwebs, walk Cerberus, check the pantry, ah, OK, I'm off!!","Докладай усіх зусиль.","","",""
"Integrated","Nyx_","0204","Nyx_0204","Greetings","Dignified nod / acknowledgement.","","Дитино.","","",""
"Integrated","Nyx_","0205","Nyx_0205","","Pleased to see him.","","Моє дитя.","","",""
"Integrated","Nyx_","0206","Nyx_0206","","","","Ти повернувся.","","",""
"Integrated","Nyx_","0207","Nyx_0207","","","","Ти повернувся.","","",""
"Integrated","Nyx_","0208","Nyx_0208","","","","Це ти.","","",""
"Integrated","Nyx_","0209","Nyx_0209","","","","Ти повернувся.","","",""
"Integrated","Nyx_","0210","Nyx_0210","","","","Ти тут.","","",""
"Integrated","Nyx_","0211","Nyx_0211","","","","Невеличка невдача.","","",""
"Integrated","Nyx_","0212","Nyx_0212","","","","Ах.","","",""
"Integrated","Nyx_","0213","Nyx_0213","","","","Будь незримим.","","",""
"Integrated","Nyx_","0214","Nyx_0214","","","","Ось ти де.","","",""
"Integrated","Nyx_","0215","Nyx_0215","","","","Ти добре впорався.","","",""
"Integrated","Nyx_","0216","Nyx_0216","","","","Ти звільнився.","","",""
"Integrated","Nyx_","0217","Nyx_0217","","","","Ти дістався поверхні...","","",""
"Integrated","Nyx_","0218","Nyx_0218","","","","Ти знайшов її?","","",""
"Integrated","Nyx_","0219","Nyx_0219","","","","Гарна робота.","","",""
"Integrated","Nyx_","0220","Nyx_0220","","","","Нарешті.","","",""
"Integrated","Nyx_","0221","Nyx_0221","","","","Поговорімо.","","",""
"Integrated","Nyx_","0222","Nyx_0222","","","","Поговоримо, дитино?","","",""
"Integrated","Nyx_","0223","Nyx_0223","","","","Поговорімо, якщо можна.","","",""
"Darren","Nyx_","0224","Nyx_0224","","","","Зачекай-но хвильку.","","",""
"Integrated","Nyx_","0225","Nyx_0225","","","","Хвилинку.","","",""
"Darren","Nyx_","0226","Nyx_0226","","","","Тут.","","",""
"Integrated","Nyx_","0227","Nyx_0227","","","","Дитино?","","",""
"Darren","Nyx_","0228","Nyx_0228","","","","Ніч і Темрява, направляють тебе.","","",""
"Darren","Nyx_","0229","Nyx_0229","","","","Так тому і бути.","","",""
"Darren","Nyx_","0230","Nyx_0230","","","","Як скажеш.","","",""
"Darren","Nyx_","0231","Nyx_0231","","","","Як забажаєш.","","",""
"Integrated","Nyx_","0232","Nyx_0232","","","","Так тому і бути.","","",""
"Darren","Nyx_","0233","Nyx_0233","","","","Най буде так.","","",""
"Integrated","Nyx_","0234","Nyx_0234","","","","Дуже добре.","","",""
"Integrated","Nyx_","0235","Nyx_0235","","","","Ну тоді, добре.","","",""
"Darren","Nyx_","0236","Nyx_0236","","","","Як забажаєш.","","",""
"Darren","Nyx_","0237","Nyx_0237","","","","Як забажаєш.","","",""
"Integrated","Nyx_","0238","Nyx_0238","","","","Я вдячна.","","",""
"Integrated","Nyx_","0239","Nyx_0239","","","","Моя тобі подяка.","","",""
"Integrated","Nyx_","0240","Nyx_0240","","","","Дякую тобі, моє дитя.","","",""
"Darren","Nyx_","0241","Nyx_0241","","","","Я це ціную, дитино.","","",""
"Integrated","Nyx_","0242","Nyx_0242","","","","Я тобі вдячна за це, дитино.","","",""
"Integrated","Nyx_","0243","Nyx_0243","","","","Ти занадто люб'язний.","","",""
"Integrated","Nyx_","0244","Nyx_0244","","","","Дуже гарно з твого боку.","","",""
"Integrated","Nyx_","0245","Nyx_0245","","","","Дуже люб'язно, дитино.","","",""
"Darren","Nyx_","0246","Nyx_0246","","","","У мене для тебе дещо є.","","",""
"Darren","Nyx_","0247","Nyx_0247","","","","Це тобі.","","",""
"Darren","Nyx_","0248","Nyx_0248","","","","Це належить тобі.","","",""
"Darren","Nyx_","0249","Nyx_0249","","","","Для тебе, моє дитя.","","",""
"Darren","Nyx_","0250","Nyx_0250","","","","Будь ласка, візьми це, дитино.","","",""
"Darren","Nyx_","0251","Nyx_0251","","","","Будь ласка, це твоє.","","",""
"Darren","Nyx_","0252","Nyx_0252","","","","Для тебе.","","",""
"Darren","Nyx_","0253","Nyx_0253","","","","Ось.","","",""
"Darren","Nyx_","0254","Nyx_0254","","","","Ось.","","",""
"Integrated","Nyx_","0255","Nyx_0255","","","","Ммм.","","",""
"Darren","Nyx_","0256","Nyx_0256","","","","Твоє.","","",""
"Darren","Nyx_","0257","Nyx_0257","","","","Рости.","","",""
"Darren","Nyx_","0258","Nyx_0258","","","","Темрява.","","",""
"Darren","Nyx_","0259","Nyx_0259","","","","Це прикро.","","",""
"Darren","Nyx_","0260","Nyx_0260","","","","Небажаний результат.","","",""
"Integrated","Nyx_","0261","Nyx_0261","","","","Мойри були неласкаві.","","",""
"Integrated","Nyx_","0262","Nyx_0262","","","","Ще одна невдача, яку слід подолати.","","",""
"Darren","Nyx_","0263","Nyx_0263","","","","Як разчаровуюче.","","",""
"Darren","Nyx_","0264","Nyx_0264","","","","Я боялася, що це трапиться.","","",""
"Darren","Nyx_","0265","Nyx_0265","","","","Я незадоволена.","","",""
"Darren","Nyx_","0266","Nyx_0266","","","","Я, звісно ж, не схвалюю цього.","","",""
"Darren","Nyx_","0267","Nyx_0267","","","","Було б розумно не випробовувати моє терпіння таким чином.","","",""
"Integrated","Nyx_","0268","Nyx_0268","","","","Нерозумно злити мене таким чином.","","",""
"Darren","Nyx_","0269","Nyx_0269","","","","Цілковита необережність.","","",""
"Darren","Nyx_","0270","Nyx_0270","","","","Такі дії я не стерплю.","","",""
"Darren","Nyx_","0271","Nyx_0271","","","","По-справжньому безглуздий вчинок.","","",""
"Darren","Nyx_","0272","Nyx_0272","","","","Прошу, облиш мене поки, дитино.","","",""
"Integrated","Nyx_","0273","Nyx_0273","","","","Будь ласка, дай мені спокій.","","",""
"Darren","Nyx_","0274","Nyx_0274","","","","Я хотіла б побути на самоті.","","",""
"Darren","Nyx_","0275","Nyx_0275","","","","Дійсно...?","","",""
"Darren","Nyx_","0276","Nyx_0276","","","","Темряво упаси...","","",""
"Darren","Nyx_","0277","Nyx_0277","","","","Чи може це бути...?","","",""
"Darren","Nyx_","0278","Nyx_0278","","","","Але цього не може бути.","","",""
"Darren","Nyx_","0279","Nyx_0279","","","","Ти точно впевнений...?","","",""
"Darren","Nyx_","0280","Nyx_0280","","","","Насилу вірю в це...","","",""
"Darren","Nyx_","0281","Nyx_0281","","","","Чи може це бути правдою...?","","",""
"Darren","Nyx_","0282","Nyx_0282","","","","Я знала що ти більш ніж здатний.","","",""
"Integrated","Nyx_","0283","Nyx_0283","","","","Я ніколи в тобі не сумнівалася.","","",""
"Integrated","Nyx_","0284","Nyx_0284","","","","Я передбачила, що ти досягнеш успіху.","","",""
"Integrated","Nyx_","0285","Nyx_0285","","","","Блискуче зроблено.","","",""
"Integrated","Nyx_","0286","Nyx_0286","","","","Майстерно виконана робота.","","",""
"Unused","Nyx_","0287","Nyx_0287","","","","Твій батько пав перед тобою, як колись його батько перед ним. Хоча, ти був суттєво милосердніший. Я знаю що це перемога з гірким присмаком, в найкращому випадку. Хоча скажи-но мені, що важливіше... ти знайшов її? Поза шляхом прихованим навіть від мене?","","",""
"Unused","Nyx_","0288","Nyx_0288","","","","Ти ще зможеш їх задати, дитино. Якщо ти зміг знайти її одного разу... то цілком ймовірно, що зможеш зробити це знову? Йди, задай їй усі свої питання. Скільки б спроб це не вартувало.","","",""
"Unused","Nyx_","0289","Nyx_0289","","","","Ти можеш. Ти вже це зробив. Іди знайди її, дитино. Вона не може ризикувати повертатися сюди. Але вона очікує на тебе, навіть зараз.","","",""
"Unused","Nyx_","0290","Nyx_0290","","","","Моє дитя... мені тяжко це казати, але... я цього не знаю. Мій вплив поширюється до поверхні, так. Але сама я там ніколи не була. Тому я і не очікувала, що вона так подіє на тебе. Здається мені, що ти розділяєш долю свого батька.","","",""
"Unused","Nyx_","0291","Nyx_0291","","","","Ну тепер я припускаю. Що ти прив'язаний до цього царства, силами навіть величнішими за мої. Скажи мені ось що... якби ти знав, що зможеш побачити Персефону лиш на коротку мить... чи здійснив би подорож до неї, знову?","","",""
"Unused","Nyx_","0292","Nyx_0292","","","","Тоді, укріпи свою рішучість, та знайди її, знову. І гарно скористайся тим коротким часом який у вас є одне на одного, поки є можливість. Так, як це роблять усі смерті.","","",""
"Integrated","Nyx_","0293","Nyx_0293","","","","Зачекай...","","",""
"Unused","Nyx_","0294","Nyx_0294","","","","Дитино, на хвилинку, перед тим як ти підеш. Хоча я і знаю, що твій час на поверхні занадто короткий, навіть якщо ти взагалі досягнеш своєї цілі... чи не міг би ти сказати Персефоні, що я залишилася вірною своєму слову, будь ласка? І що я, з теплом думаю, про той час, який вона провела з нами? Будь ласка, передай це їй від мене.","","",""
"Unused","Nyx_","0295","Nyx_0295","","","","Я думаю, що вона відчувала, що не належить до цього місця. Їй довелося пройти надзвичайно складний період адаптації. І... вона боялася, що в підсумку, неминуче застрягне між Олімпом і цим царством. Що розпочне війну.","","",""
"Integrated","Nyx_","0298","Nyx_0298","","","","Дякую тобі, мій сину.","","",""
"Integrated","Nyx_","0303","Nyx_0303","","","","Дізнаймося разом.","","",""
"Integrated","Nyx_","0312","Nyx_0312","","","","Це так.","","",""
"Integrated","Nyx_","0316","Nyx_0316","","","","Дійсно.","","",""
"Integrated","Nyx_","0319","Nyx_0319","","","","Хороша ідея.","","",""
"Integrated","Nyx_","0343","Nyx_0343","","","","Саме так.","","",""
"Unused","Nyx_","0375","Nyx_0375","","","","В цьому я тобі не допоможу, дитино.","","",""
"Unused","Nyx_","0378","Nyx_0378","","","","Я не можу одночасно говорити та спрямовувати темряву, дитино.","","",""
"Integrated","Nyx_","0381","Nyx_0381","","","","Це найменше, що я могла зробити. Олімпійці стануть сильними союзниками. Але не давай їм знати більше, ніж те що їм вже відомо. Заради всіх нас.","","",""
"Integrated","Nyx_","0384","Nyx_0384","","","","Тоді йди.","","",""
"Integrated","Nyx_","0408","Nyx_0408","","","","Добре.","","",""
"Integrated","Nyx_","0410","Nyx_0410","","","","Вона це сказала, справді...?","","",""
"Integrated","Nyx_","0411","Nyx_0411","","","","Загрею.","","",""
"Integrated","Nyx_","0412","Nyx_0412","","","","Загрею?","","",""
"Integrated","Nyx_","0413","Nyx_0413","","","","Почекай, дитино.","","",""
"Integrated","Nyx_","0414","Nyx_0414","","","","Ласкаво просимо до Хаосу.","","",""
"Integrated","Nyx_","0415","Nyx_0415","","","","Ти нас знайшов.","","",""
"Integrated","Nyx_","0416","Nyx_0416","","","","Всі ми, тут.","","",""
"Integrated","Nyx_","0417","Nyx_0417","","","","Ти тут.","","",""
"Integrated","Nyx_","0418","Nyx_0418","","","","Який сюрприз.","","",""
"Darren","Nyx_","0452","Nyx_0452","Mission Assignments (speculative context)","","","В мене для тебе нове завдання, дитино.","","",""
"Darren","Nyx_","0453","Nyx_0453","","","","Є дещо, що потребує твоєї уваги.","","",""
"Darren","Nyx_","0456","Nyx_0456","","","","Виникла ще одна ситуація, дитино.","","",""
"Darren","Nyx_","0457","Nyx_0457","","","","Мені потрібна твоя допомога з дечим, дитино.","","",""
"Darren","Nyx_","0458","Nyx_0458","Nonverbal Emotes","Knowing. Three or four short ""hm"" sounds.","","<Смішок>","","",""
"Darren","Nyx_","0459","Nyx_0459","","Slightly amused.","","<Смішок>","","",""
"Darren","Nyx_","0460","Nyx_0460","","Wry, to herself.","","<Сміх>","","",""
"Darren","Nyx_","0461","Nyx_0461","","Slightly amused.","","<Сміх>","","",""
"Unused","Nyx_","0452","Nyx_0452","","","","В мене для тебе нове завдання, дитино.","","",""
"Unused","Nyx_","0453","Nyx_0453","","","","Є дещо, що потребує твоєї уваги.","","",""
"Unused","Nyx_","0456","Nyx_0456","","","","Виникла ще одна ситуація, дитино.","","",""
"Unused","Nyx_","0457","Nyx_0457","","","","Мені потрібна твоя допомога з дечим, дитино.","","",""
"Unused","Nyx_","0458","Nyx_0458","","","","<Смішок>","","",""
"Unused","Nyx_","0459","Nyx_0459","","","","<Смішок>","","",""
"Unused","Nyx_","0460","Nyx_0460","","","","<Сміх>","","",""
"Unused","Nyx_","0461","Nyx_0461","","","","<Сміх>","","",""
"Integrated","Nyx_","0462","Nyx_0462","","","","<Усмішка>","","",""
"Unused","Nyx_","0463","Nyx_0463","","","","<Зітхає>","","",""
"Unused","Nyx_","0464","Nyx_0464","","","","<Зітхає>","","",""
"Unused","Nyx_","0465","Nyx_0465","","","","Грмм.","","",""
"Integrated","Nyx_","0471","Nyx_0471","","","","Так.","","",""
"Integrated","Nyx_","0474","Nyx_0474","","","","Гарна робота, дитино.","","",""
"Integrated","Nyx_","0475","Nyx_0475","","","","Похвальний результат.","","",""
"Integrated","Nyx_","0476","Nyx_0476","","","","Ти добре впорався.","","",""
"Integrated","Nyx_","0477","Nyx_0477","","","","Блискуча робота.","","",""
"Integrated","Nyx_","0478","Nyx_0478","","","","За твій подальший успіх.","","",""
"Integrated","Nyx_","0479","Nyx_0479","","","","Царство сильне.","","",""
"Integrated","Nyx_","0480","Nyx_0480","","","","Дім в порядку.","","",""
