"Achilles","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Achilles_","0114","Achilles_0114","","","","Я не думаю, що ваш батько у настрої торгуватися. Імпульсивність довела Патрокла і мене до тієї ситуації, в якій ми зараз знаходимося. Тому я прошу від вас терпіння. Дякую, що принесли мені новини від нього. Продовжуйте з ним спілкуватися, як буде нагода, гаразд?","","",""
"Integrated","Achilles_","0121","Achilles_0121","","","","Тоді це добре. Радий це чути.","","",""
"Integrated","Achilles_","0125","Achilles_0125","","","","Справді, хлопче.","","",""
"Integrated","Achilles_","0129","Achilles_0129","","","","Коли ти вже про це згадав... я не можу.","","",""
"Integrated","Achilles_","0162","Achilles_0162","","","","На хвилинку, Принце?","","",""
"Integrated","Achilles_","0163","Achilles_0163","","","","Ваша Величносте, сюди.","","",""
"Integrated","Achilles_","0164","Achilles_0164","","","","Ох, ось ви де, Величносте.","","",""
"Darren","Achilles_","0165","Achilles_0165","","","","На хвилинку, Принце.","","",""
"Integrated","Achilles_","0184","Achilles_0184","","","","Я б порадив поквапитися, хлопче...","","",""
"Integrated","Achilles_","0187","Achilles_0187","","","","Не можу тебе туди впустити, хлопче.","","",""
"Integrated","Achilles_","0188","Achilles_0188","","","","Туди не можна, на жаль.","","",""
"Integrated","Achilles_","0189","Achilles_0189","","","","Ви ж знаєте, правила вашого батька.","","",""
"Integrated","Achilles_","0190","Achilles_0190","","","","Ну ж бо, хлопче.","","",""
"Integrated","Achilles_","0191","Achilles_0191","","","","Зачинено не просто так, хлопче.","","",""
"Integrated","Achilles_","0192","Achilles_0192","","","","Туди не можна.","","",""
"Integrated","Achilles_","0193","Achilles_0193","","","","Правила дому, хлопче.","","",""
"Integrated","Achilles_","0194","Achilles_0194","","","","Має залишатися зачинено.","","",""
"Integrated","Achilles_","0195","Achilles_0195","","","","Немає сенсу пробувати, хлопче.","","",""
"Integrated","Achilles_","0196","Achilles_0196","","","","Не відчиниться, хлопче.","","",""
"Integrated","Achilles_","0214","Achilles_0214","","","","Я вдячний тобі.","","",""
"Integrated","Achilles_","0222","Achilles_0222","","","","Ох, гляньте-но хто.","","",""
"Integrated","Achilles_","0223","Achilles_0223","","","","Хах, хаха.","","",""
"Integrated","Achilles_","0224","Achilles_0224","","","","Привіт, хлопче.","","",""
"Integrated","Achilles_","0225","Achilles_0225","","","","Дивись, Пат.","","",""
"Integrated","Achilles_","0226","Achilles_0226","","","","У нас гість.","","",""
"Integrated","Achilles_","0227","Achilles_0227","","","","Ах, ви тут.","","",""
"Integrated","Achilles_","0228","Achilles_0228","","","","Як справи, хлопче?","","",""
"Integrated","Achilles_","0229","Achilles_0229","","","","Пройшли увесь шлях сюди, га.","","",""
"Integrated","Achilles_","0230","Achilles_0230","","","","Борітеся.","","",""
"Integrated","Achilles_","0231","Achilles_0231","","","","Прощавайте.","","",""
"Integrated","Achilles_","0232","Achilles_0232","","","","Бувай, хлопче.","","",""
"Integrated","Achilles_","0233","Achilles_0233","","","","До наступної зустрічі.","","",""
"Integrated","Achilles_","0234","Achilles_0234","","","","Бийтеся, як бився б я.","","",""
"Integrated","Achilles_","0235","Achilles_0235","","","","Хороша подорож.","","",""
"Integrated","Achilles_","0236","Achilles_0236","","","","Страх для слабких.","","",""
"Integrated","Achilles_","0237","Achilles_0237","","","","Ми ще побачимося.","","",""
"Integrated","Achilles_","0238","Achilles_0238","","","","Ну, хлопче.","","",""
"Integrated","Achilles_","0239","Achilles_0239","","","","Не в настрої для спарингу, хлопче.","","",""
"Integrated","Achilles_","0240","Achilles_0240","","","","Не зараз, хлопче.","","",""
"Integrated","Achilles_","0241","Achilles_0241","","","","Мені вже вистачить боїв, я так думаю.","","",""
"Integrated","Achilles_","0242","Achilles_0242","","","","Відпочиньте поки можете.","","",""
"Integrated","Achilles_","0243","Achilles_0243","","","","Я тут не для того щоб битися з тобою, хлопче.","","",""
"Integrated","Achilles_","0244","Achilles_0244","","","","Хех.","","",""
"Integrated","Achilles_","0245","Achilles_0245","","","","Ехх.","","",""
"Integrated","Achilles_","0246","Achilles_0246","","","","Ні, дякую.","","",""
"Integrated","Achilles_","0251","Achilles_0251","","","","Так, Володарю. Дякую.","","",""
"Integrated","Achilles_","0253","Achilles_0253","","","","Так, Пані. Зроблю. Як накажете.","","",""
"Integrated","Achilles_","0260","Achilles_0260","","","","...а потім, коли той свино-головий хвалько наказав мені це зробити, я клянуся...","","",""
"Integrated","Achilles_","0261","Achilles_0261","","","","Більше, ніж цілком впевнений, насправді!","","",""
"Integrated","Achilles_","0262","Achilles_0262","","","","Ну, напевно ви праві.","","",""
"Integrated","Achilles_","0263","Achilles_0263","","","","Ой, та годі, ви здатні на більше ніж це.","","",""
"Integrated","Achilles_","0264","Achilles_0264","","","","Це дійсно так, ви праві.","","",""
"Integrated","Achilles_","0265","Achilles_0265","","","","Ви праві!","","",""
"Integrated","Achilles_","0266","Achilles_0266","","","","Це так.","","",""
"Integrated","Achilles_","0267","Achilles_0267","","","","Ах, так.","","",""
"Integrated","Achilles_","0268","Achilles_0268","","","","Дійсно!","","",""
"Integrated","Achilles_","0269","Achilles_0269","","","","Я вірю, що це так!","","",""
"Integrated","Achilles_","0272","Achilles_0272","","","","Ось!","","",""
"Integrated","Achilles_","0273","Achilles_0273","","","","Вже йдемо!","","",""
"Integrated","Achilles_","0274","Achilles_0274","","","","Готовий!","","",""
"Integrated","Achilles_","0275","Achilles_0275","","","","Ми вас чуємо!","","",""
"Integrated","Achilles_","0276","Achilles_0276","","","","Ми чуємо тебе, хлопче!","","",""
"Integrated","Achilles_","0277","Achilles_0277","","","","Так, хлопче!","","",""
"Integrated","Achilles_","0278","Achilles_0278","","","","Будемо там!","","",""
"Integrated","Achilles_","0279","Achilles_0279","","","","Буду там!","","",""
"Integrated","Achilles_","0280","Achilles_0280","","","","Терпіння, хлопче!","","",""
"Integrated","Achilles_","0281","Achilles_0281","","","","Це буде швидко.","","",""
"Integrated","Achilles_","0282","Achilles_0282","","","","Патрокле!","","",""
"Integrated","Achilles_","0283","Achilles_0283","","","","Зараз, Патрокле!","","",""
"Integrated","Achilles_","0284","Achilles_0284","","","","Вперед, Пат!","","",""
"Integrated","Achilles_","0285","Achilles_0285","","","","Зараз, Пат!","","",""
"Integrated","Achilles_","0286","Achilles_0286","","","","Вперед!","","",""
"Integrated","Achilles_","0287","Achilles_0287","","","","Зараз!","","",""
"Integrated","Achilles_","0288","Achilles_0288","","","","В атаку!","","",""
"Integrated","Achilles_","0289","Achilles_0289","","","","До бою!","","",""
"Integrated","Achilles_","0290","Achilles_0290","","","","Приступимо?","","",""
"Integrated","Achilles_","0291","Achilles_0291","","","","Ну ж бо, Пат!","","",""
"Integrated","Achilles_","0292","Achilles_0292","","","","Готовий!","","",""
"Integrated","Achilles_","0293","Achilles_0293","","","","Астерію!","","",""
"Integrated","Achilles_","0294","Achilles_0294","","","","Бик Міноса!","","",""
"Integrated","Achilles_","0295","Achilles_0295","","","","Ох, так це ж чемпіон!","","",""
"Integrated","Achilles_","0296","Achilles_0296","","","","Тесей завдає клопоту, хлопче?","","",""
"Integrated","Achilles_","0297","Achilles_0297","","","","Час нам забрати престол у чемпіона.","","",""
"Integrated","Achilles_","0298","Achilles_0298","","","","Ми закінчили.","","",""
"Integrated","Achilles_","0299","Achilles_0299","","","","Продовжуйте битися!","","",""
"Integrated","Achilles_","0300","Achilles_0300","","","","Продовжуй битися, хлопче!","","",""
"Integrated","Achilles_","0301","Achilles_0301","","","","Продовжуйте!","","",""
"Integrated","Achilles_","0302","Achilles_0302","","","","Закінчіть це!","","",""
"Integrated","Achilles_","0303","Achilles_0303","","","","Ми повернулися!","","",""
"Integrated","Achilles_","0304","Achilles_0304","","","","Ми почули тебе, хлопче.","","",""
"Integrated","Achilles_","0305","Achilles_0305","","","","Ну тоді ще раз!","","",""
"Integrated","Achilles_","0325","Achilles_0325","","","","Знайшли що шукали?","","",""
"Integrated","Achilles_","0332","Achilles_0332","","","","Ще побачимося.","","",""
"Integrated","Achilles_","0338","Achilles_0338","","","","Ви надзвичайно добрі, О Ноче.","","",""
"Integrated","Achilles_","0341","Achilles_0341","","","","Якщо подивитися на це з такої точки зору, тоді це звучить абсурдно, але так.","","",""
"Integrated","Achilles_","0347","Achilles_0347","","","","Хах, гадаю, це правда.","","",""
"Integrated","Achilles_","0348","Achilles_0348","","","","Мої вітання, Принце.","","",""
"Integrated","Achilles_","0349","Achilles_0349","","","","Мої вітання.","","",""
"Integrated","Achilles_","0350","Achilles_0350","","","","Принце.","","",""
"Integrated","Achilles_","0351","Achilles_0351","","","","Як воно?","","",""
"Integrated","Achilles_","0352","Achilles_0352","","","","Ах.","","",""
"Integrated","Achilles_","0353","Achilles_0353","","","","...якби не ти Пат, я навіть не хочу думати що б я зробив. Тоді війна б пішла інакше, я гадаю.","","",""
"Integrated","Achilles_","0359","Achilles_0359","","","","Дякую, О Ноче.","","",""
"Integrated","Achilles_","0364","Achilles_0364","","","","Хахаха, ну... ви мене підловили.","","",""
"Integrated","Achilles_","0366","Achilles_0366","","","","Повірю тобі на слово.","","",""
"Integrated","Achilles_","0369","Achilles_0369","","","","Бережи себе.","","",""
"Integrated","Achilles_","0371","Achilles_0371","","","","Я знаю цей тип. Обидва типи.","","",""
"Integrated","Achilles_","0373","Achilles_0373","","","","Продовжуй в тому ж дусі.","","",""
"Integrated","Achilles_","0374","Achilles_0374","","","","Ти у цьому впевнений, хлопче?","","",""
"Integrated","Achilles_","0375","Achilles_0375","","","","Пробачте, Володарю...","","",""
"Integrated","Achilles_","0376","Achilles_0376","","","","Сподіваюся, що ваш батько не проти...!","","",""
"Integrated","Achilles_","0377","Achilles_0377","","","","Вашому батькові це не сподобається!","","",""
"Integrated","Achilles_","0379","Achilles_0379","","","","Можливо обидва. Я таких вже зустрічав.","","",""
