"Intercom","ID","ID","ID","","","","Line","Notes by GK","Notes by AR","Notes by DK"
"Integrated","Intercom_","0102","Intercom_0102","","","","Це приватна власність.","","",""
"Integrated","Intercom_","0103","Intercom_0103","","","","У нас порушник.","","",""
"Integrated","Intercom_","0104","Intercom_0104","","","","Порушник!","","",""
"Integrated","Intercom_","0105","Intercom_0105","","","","Правопорушення тут не терпітимуть.","","",""
"Integrated","Intercom_","0106","Intercom_0106","","","","Вважай це попередженням.","","",""
"Integrated","Intercom_","0107","Intercom_0107","","","","У нас тут проблема зі шкідниками.","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0226","Intercom_0226","","","","Смерть неминуча.","","",""
"Integrated","Intercom_","0227","Intercom_0227","","","","Тобі не втекти.","","",""
"Integrated","Intercom_","0228","Intercom_0228","","","","Ні кроку далі.","","",""
"Integrated","Intercom_","0229","Intercom_0229","","","","Злидні Підземного Царства, ось ваш шанс.","","",""
"Integrated","Intercom_","0230","Intercom_0230","","","","Виходьте, злидні, і зупиніть цього зловмисника.","","",""
"Integrated","Intercom_","0231","Intercom_0231","","","","Не думай що можеш залишитися поза моєю увагою, малий.","","",""
"Integrated","Intercom_","0232","Intercom_0232","","","","Ти дійсно думаєш, що можеш звідси вибратися?","","",""
"Integrated","Intercom_","0233","Intercom_0233","","","","Подивімося чи переживеш ти це.","","",""
"Integrated","Intercom_","0234","Intercom_0234","","","","Ніхто не покидає цього місця, живий чи мертвий.","","",""
"Integrated","Intercom_","0235","Intercom_0235","","","","Твоя комендантська година вже давно настала, малий.","","",""
"Integrated","Intercom_","0236","Intercom_0236","","","","Я довго терпів твоє нахабство.","","",""
"Integrated","Intercom_","0237","Intercom_0237","","","","А я тебе бачу.","","",""
"Integrated","Intercom_","0238","Intercom_0238","","","","Ти думаєш що можеш так просто піти від звідси?","","",""
"Integrated","Intercom_","0239","Intercom_0239","","","","Можна забрати хвилину твого часу...","","",""
"Integrated","Intercom_","0240","Intercom_0240","","","","Подивимося як твої родичі на Олімпі витягнуть тебе з цього.","","",""
"Integrated","Intercom_","0241","Intercom_0241","","","","Дозволь мені представити тобі своїх вірних підданих, малий.","","",""
"Integrated","Intercom_","0242","Intercom_0242","","","","Ти нікуди не підеш.","","",""
"Integrated","Intercom_","0243","Intercom_0243","","","","Годі!","","",""
"Integrated","Intercom_","0244","Intercom_0244","","","","Нікчемні злидні.","","",""
"Integrated","Intercom_","0245","Intercom_0245","","","","Паа, непотріб.","","",""
"Integrated","Intercom_","0246","Intercom_0246","","","","Кров і темрява.","","",""
"Integrated","Intercom_","0247","Intercom_0247","","","","Вони мали свій шанс.","","",""
"Integrated","Intercom_","0248","Intercom_0248","","","","Ну тоді, я розберуся з тобою пізніше.","","",""
"Integrated","Intercom_","0249","Intercom_0249","","","","Ти все це пережив?","","",""
"Integrated","Intercom_","0250","Intercom_0250","","","","А хто це все прибиратиме?","","",""
"Integrated","Intercom_","0251","Intercom_0251","","","","Ідіоти!","","",""
"Integrated","Intercom_","0252","Intercom_0252","","","","Нікчеми!","","",""
"Integrated","Intercom_","0253","Intercom_0253","","","","Непотріб!","","",""
"Integrated","Intercom_","0254","Intercom_0254","","","","Кляті дурні.","","",""
"Integrated","Intercom_","0255","Intercom_0255","","","","Здається, мені потрібно шукати кращих помічників.","","",""
"Integrated","Intercom_","0256","Intercom_0256","","","","Назад, у глибини безодні.","","",""
"Integrated","Intercom_","0257","Intercom_0257","","","","Годі, мені є чим зайнятися.","","",""
"Integrated","Intercom_","0258","Intercom_0258","","","","Кхх, ти марнуєш мій час.","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0273","Intercom_0273","","","","Ти не посмієш.","","",""
"Integrated","Intercom_","0274","Intercom_0274","","","","Як ти... гррр.","","",""
"Integrated","Intercom_","0275","Intercom_0275","","","","Ну давай, спробуй.","","",""
"Integrated","Intercom_","0276","Intercom_0276","","","","Це нікуди тебе не приведе, малий.","","",""
"Integrated","Intercom_","0277","Intercom_0277","","","","Від тебе взагалі нічого не залишиться.","","",""
"Integrated","Intercom_","0278","Intercom_0278","","","","Мегера знову не змогла?","","",""
"Integrated","Intercom_","0279","Intercom_0279","","","","Тобі не дозволено покидати Тартар...!","","",""
"Integrated","Intercom_","0280","Intercom_0280","","","","Здається що Фурії не вдалося виконати свою роботу.","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0289","Intercom_0289","","","","Подивімося, чи ти настільки ж майстерний як ти думаєш.","","",""
"Integrated","Intercom_","0290","Intercom_0290","","","","Злидні Підземного Царства, взяти його.","","",""
"Integrated","Intercom_","0291","Intercom_0291","","","","Побачимо наскільки ти майстерний насправді.","","",""
"Integrated","Intercom_","0292","Intercom_0292","","","","Як щодо невеличкого змагання, малий.","","",""
"Integrated","Intercom_","0293","Intercom_0293","","","","Мої злидні прийшли по тебе.","","",""
"Integrated","Intercom_","0294","Intercom_0294","","","","Подивімось, як ти ухилишся від цього.","","",""
"Integrated","Intercom_","0295","Intercom_0295","","","","Маю для тебе виклик, малий.","","",""
"Integrated","Intercom_","0296","Intercom_0296","","","","Зможеш ухилитися від моїх злиднів, малий?","","",""
"Integrated","Intercom_","0297","Intercom_0297","","","","Взяти його, злидні, зараз же!","","",""
"Integrated","Intercom_","0298","Intercom_0298","","","","Настав час платити по заслугах.","","",""
"Integrated","Intercom_","0299","Intercom_0299","","","","Хочу побачити як ти ухилишся від цього.","","",""
"Integrated","Intercom_","0300","Intercom_0300","","","","Не дай себе зачепити, бо буде боляче, малий!","","",""
"Integrated","Intercom_","0301","Intercom_0301","","","","<Сміх>","","",""
"Integrated","Intercom_","0302","Intercom_0302","","","","<Сміх>","","",""
"Integrated","Intercom_","0303","Intercom_0303","","","","<Сміх>","","",""
"Integrated","Intercom_","0304","Intercom_0304","","","","Як очікувалося.","","",""
"Integrated","Intercom_","0305","Intercom_0305","","","","Ще одна невдача.","","",""
"Integrated","Intercom_","0306","Intercom_0306","","","","Ох, як шкода.","","",""
"Integrated","Intercom_","0307","Intercom_0307","","","","Ти завжди був повільним, малий.","","",""
"Integrated","Intercom_","0308","Intercom_0308","","","","Ти не впорався.","","",""
"Integrated","Intercom_","0309","Intercom_0309","","","","Я знав що у тебе не вийде.","","",""
"Integrated","Intercom_","0310","Intercom_0310","","","","Передбачувано.","","",""
"Integrated","Intercom_","0311","Intercom_0311","","","","Сміховинно.","","",""
"Integrated","Intercom_","0312","Intercom_0312","","","","Оуу.","","",""
"Integrated","Intercom_","0313","Intercom_0313","","","","Дякуй Мойрам за це.","","",""
"Integrated","Intercom_","0314","Intercom_0314","","","","Купка бездарностей.","","",""
"Integrated","Intercom_","0315","Intercom_0315","","","","Жалюгідні дурні.","","",""
"Integrated","Intercom_","0316","Intercom_0316","","","","Це просто удача, та й усе.","","",""
"Integrated","Intercom_","0317","Intercom_0317","","","","Як тобі пощастило.","","",""
"Integrated","Intercom_","0318","Intercom_0318","","","","Годі цього.","","",""
"Integrated","Intercom_","0319","Intercom_0319","","","","Грр...","","",""
"Integrated","Intercom_","0320","Intercom_0320","","","","<Насмішка>","","",""
"Integrated","Intercom_","0321","Intercom_0321","","","","Дідько.","","",""
"Integrated","Intercom_","0322","Intercom_0322","","","","Зловтішайся скільки влізе.","","",""
"Integrated","Intercom_","0323","Intercom_0323","","","","Фех, ці мертві - непотріб.","","",""
"Integrated","Intercom_","0324","Intercom_0324","","","","Добре, залиш тоді собі цю дрібничку.","","",""
"Integrated","Intercom_","0325","Intercom_0325","","","","Здається у Мегери виникли труднощі.","","",""
"Integrated","Intercom_","0326","Intercom_0326","","","","Ну ж бо, перейди до Асфоделю, та вмри.","","",""
"Integrated","Intercom_","0327","Intercom_0327","","","","Насолоджуєшся своїм перебуванням у Тартарі?","","",""
"Integrated","Intercom_","0328","Intercom_0328","","","","Тартар ще раз довів, що не може тебе втримати.","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0361","Intercom_0361","","","","Алекто не впоралася...?!","","",""
"Integrated","Intercom_","0362","Intercom_0362","","","","Алекто не впоралася, так само як і її сестра.","","",""
"Integrated","Intercom_","0363","Intercom_0363","","","","Тісіфона мене підвела, чи не так.","","",""
"Integrated","Intercom_","0364","Intercom_0364","","","","Тісіфону, переможено...?!","","",""
"Integrated","Intercom_","0365","Intercom_0365","","","","Ось тобі й безстрашні Фурії.","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0380","Intercom_0380","","","","Ти перевершив мою Гідру.","","",""
"Integrated","Intercom_","0381","Intercom_0381","","","","Гідра знову пала перед тобою, чи не так.","","",""
"Integrated","Intercom_","0382","Intercom_0382","","","","Куди це ти зібрався?","","",""
"Integrated","Intercom_","0383","Intercom_0383","","","","Ніякого раю для тебе, малий.","","",""
"Integrated","Intercom_","0384","Intercom_0384","","","","Ступай легко, малий.","","",""
"Integrated","Intercom_","0385","Intercom_0385","","","","Ти випробовуєш моє терпіння.","","",""
"Integrated","Intercom_","0386","Intercom_0386","","","","Все ще там, правда?","","",""
"Integrated","Intercom_","0387","Intercom_0387","","","","Скоро ти до нас повернешся, я так думаю.","","",""
"Integrated","Intercom_","0388","Intercom_0388","","","","Не раджу йти далі, малий. Моє тобі попередження.","","",""
"Integrated","Intercom_","0389","Intercom_0389","","","","Як ти міг, малий? У цієї Гідри була родина!","","",""
"Integrated","Intercom_","0390","Intercom_0390","","","","Ця твоя перемога буде недовговічною.","","",""
"Integrated","Intercom_","0391","Intercom_0391","","","","Ох, я не бачив як ти увійшов.","","",""
"Integrated","Intercom_","0392","Intercom_0392","","","","Сподіваюся перебування в Асфоделі було приємним?","","",""
"Integrated","Intercom_","0393","Intercom_0393","","","","Ти думаєш, що можеш просто так взяти та увійти у Єлисейські поля?","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0413","Intercom_0413","","","","Я знаю де ти знаходишся.","","",""
"Integrated","Intercom_","0414","Intercom_0414","","","","Тобі не втекти.","","",""
"Integrated","Intercom_","0415","Intercom_0415","","","","Куди це ти зібрався?","","",""
"Integrated","Intercom_","0416","Intercom_0416","","","","Стій на місці.","","",""
"Integrated","Intercom_","0417","Intercom_0417","","","","Ти мав би знати коли варто відступити.","","",""
"Integrated","Intercom_","0418","Intercom_0418","","","","Ти у пастці, малий. Ти цього не розумієш?","","",""
"Integrated","Intercom_","0419","Intercom_0419","","","","Ну гаразд, припиніть це!","","",""
"Integrated","Intercom_","0420","Intercom_0420","","","","Це увесь час який ми маємо.","","",""
"Integrated","Intercom_","0421","Intercom_0421","","","","Баа, цього достатньо!","","",""
"Integrated","Intercom_","0422","Intercom_0422","","","","Безсумнівно, гірше очікуваного.","","",""
"Integrated","Intercom_","0423","Intercom_0423","","","","Наступного разу, працюй швидше!","","",""
"Integrated","Intercom_","0424","Intercom_0424","","","","Годі цього балагану!","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0441","Intercom_0441","","","","Отже, ти вистояв проти найкращих воїнів Єлисейських полів.","","",""
"Integrated","Intercom_","0442","Intercom_0442","","","","Король Тесей пав перед таким як ти?","","",""
"Integrated","Intercom_","0443","Intercom_0443","","","","Скоро, біль твоїх старань буде стерто.","","",""
"Integrated","Intercom_","0444","Intercom_0444","","","","Ти дійсно думаєш, що можеш звідси вибратися?","","",""
"Integrated","Intercom_","0445","Intercom_0445","","","","Отже, ти перетнувся з Чемпіонами Єлисейських полів.","","",""
"Integrated","Intercom_","0446","Intercom_0446","","","","Не змушуй мене підійматися до тебе, малий.","","",""
"Integrated","Intercom_","0447","Intercom_0447","","","","Нічого хорошого тебе не чекає поза моїм царством.","","",""
"Integrated","Intercom_","0448","Intercom_0448","","","","Найгірше ще попереду, малий.","","",""
"Integrated","Intercom_","0449","Intercom_0449","","","","Думаєш що так просто можеш піти від мене?","","",""
"Integrated","Intercom_","0450","Intercom_0450","","","","Невтішний виступ від Тесея.","","",""
"Integrated","Intercom_","0451","Intercom_0451","","","","Мені знову відправити Цербера щоб перекрити тобі шлях?","","",""
"Integrated","Intercom_","0452","Intercom_0452","","","","Треба буде мені переговорити з нашим Королем Тесеєм.","","",""
"Integrated","Intercom_","0453","Intercom_0453","","","","Твоя впертість принесе тобі лише біль.","","",""
"Integrated","Intercom_","0454","Intercom_0454","","","","Я власними руками тебе зупиню, я мушу.","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0463","Intercom_0463","","","","Чемпіони Єлисейських полів, час проявити себе!","","",""
"Integrated","Intercom_","0464","Intercom_0464","","","","Підходьте, герої Єлисейських полів, і здолайте порушника!","","",""
"Integrated","Intercom_","0465","Intercom_0465","","","","Я чекав більшого від Піднесених.","","",""
"Integrated","Intercom_","0466","Intercom_0466","","","","Ці так звані Чемпіони, розчаровують.","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0543","Intercom_0543","","","","Ти витримав об'єднану міць Фурій...","","",""
"Integrated","Intercom_","0544","Intercom_0544","","","","Принаймні у Сестер Фурій покращилися відносини.","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Integrated","Intercom_","0551","Intercom_0551","","","","Ах ти...","","",""
"Integrated","Intercom_","0552","Intercom_0552","","","","Це тобі не належить.","","",""
"Integrated","Intercom_","0553","Intercom_0553","","","","Знову ти зі своїми втручаннями?","","",""
"Integrated","Intercom_","0554","Intercom_0554","","","","Це було необдумано.","","",""
"Integrated","Intercom_","0555","Intercom_0555","","","","Що, знову?","","",""
"Integrated","Intercom_","0556","Intercom_0556","","","","Мої скрині тут не для того щоб ти їх грабував.","","",""
"Integrated","Intercom_","0557","Intercom_0557","","","","Ти злодюга.","","",""
"Integrated","Intercom_","0558","Intercom_0558","","","","Охороно!","","",""
"Integrated","Intercom_","0559","Intercom_0559","","","","Чому я взагалі плачу цим злидням.","","",""
"Integrated","Intercom_","0560","Intercom_0560","","","","Цього достатньо.","","",""
"Integrated","Intercom_","0561","Intercom_0561","","","","Добре, пригощайся.","","",""
"Integrated","Intercom_","0562","Intercom_0562","","","","Ти цього не заслужив, малий.","","",""
"Integrated","Intercom_","0563","Intercom_0563","","","","Нгрх, скільки ще разів...","","",""
"Integrated","Intercom_","0564","Intercom_0564","","","","Ось. Задоволений?","","",""
"Integrated","Intercom_","0565","Intercom_0565","","","","Ох, навіщо я взагалі цим переймаюся.","","",""
"Integrated","Intercom_","0566","Intercom_0566","","","","Я не повинен тут бути за наглядача.","","",""
"Integrated","Intercom_","0567","Intercom_0567","","","","Стояти.","","",""
"Integrated","Intercom_","0568","Intercom_0568","","","","Запечатайте кімнату.","","",""
"Integrated","Intercom_","0569","Intercom_0569","","","","Ось ти де.","","",""
"Integrated","Intercom_","0570","Intercom_0570","","","","Він тут. Хапайте його.","","",""
"Integrated","Intercom_","0571","Intercom_0571","","","","Куди ти так поспішаєш, малий?","","",""
"Integrated","Intercom_","0572","Intercom_0572","","","","Мої піддані хотіли б поспілкуватися з тобою.","","",""
"Integrated","Intercom_","0573","Intercom_0573","","","","Не потрібно так поспішати, малий.","","",""
"Integrated","Intercom_","0574","Intercom_0574","","","","Так і думав, що знайду тебе тут.","","",""
"Integrated","Intercom_","0575","Intercom_0575","","","","Добре, забирайся.","","",""
"Integrated","Intercom_","0576","Intercom_0576","","","","І знову ти знущаєшся наді мною.","","",""
"Integrated","Intercom_","0577","Intercom_0577","","","","Я більше не маю на це часу.","","",""
"Integrated","Intercom_","0578","Intercom_0578","","","","Геть, усі ви!","","",""
"Integrated","Intercom_","0579","Intercom_0579","","","","Абсолютно некомпетентні.","","",""
"Integrated","Intercom_","0580","Intercom_0580","","","","Я мав би залишити їх в Еребі.","","",""
"Integrated","Intercom_","0581","Intercom_0581","","","","Я сподіваюся, що вони хоча б змогли заподіяти тобі незручності.","","",""
"Integrated","Intercom_","0582","Intercom_0582","","","","Чому я взагалі витрачаю на це свій час.","","",""
"Integrated","Intercom_","0583","Intercom_0583","","","","Отже, ти повернувся.","","",""
"Integrated","Intercom_","0584","Intercom_0584","","","","Вітаю в Еребі.","","",""
"Integrated","Intercom_","0585","Intercom_0585","","","","Який дурень наважиться прибути в Ереб з власної волі?","","",""
"Integrated","Intercom_","0586","Intercom_0586","","","","Як я бачу, ти вже повернувся.","","",""
"Integrated","Intercom_","0587","Intercom_0587","","","","Одна подряпина, і усі твої зусилля будуть марними.","","",""
"Integrated","Intercom_","0588","Intercom_0588","","","","Пам'ятай не нервувати сильно, малий.","","",""
"Integrated","Intercom_","0589","Intercom_0589","","","","Ти, мабуть, під таким сильним тиском.","","",""
"Integrated","Intercom_","0590","Intercom_0590","","","","Слід би мені було зачинити тебе у Тартарі.","","",""
"Integrated","Intercom_","0591","Intercom_0591","","","","Скільки разів...","","",""
"Integrated","Intercom_","0592","Intercom_0592","","","","Насолоджуйся пекучою спекою Асфоделю.","","",""
"Integrated","Intercom_","0593","Intercom_0593","","","","Вип'ємо, за приємну подорож у Асфодель.","","",""
