"ZagreusHome","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK",""
"Integrated","ZagreusHome_","0087","ZagreusHome_0087","","","","Радий прислужитись, а ти приглядай за тим великим старим басейном крові для нас, добре?","","","",""
"Integrated","ZagreusHome_","0090","ZagreusHome_0090","","","","Упс.","","","",""
"Integrated","ZagreusHome_","0091","ZagreusHome_0091","","","","Упс!","","","",""
"Integrated","ZagreusHome_","0092","ZagreusHome_0092","","","","Ерм, прошу вибачення...!","","","",""
"Integrated","ZagreusHome_","0093","ZagreusHome_0093","","","","О, мабуть, послизнувся.","","","",""
"Integrated","ZagreusHome_","0094","ZagreusHome_0094","","","","Геть.","","","",""
"Integrated","ZagreusHome_","0095","ZagreusHome_0095","","","","Геть з дороги.","","","",""
"Integrated","ZagreusHome_","0096","ZagreusHome_0096","","","","Фу, геть.","","","",""
"Integrated","ZagreusHome_","0097","ZagreusHome_0097","","","","Геть з моїх очей.","","","",""
"Integrated","ZagreusHome_","0098","ZagreusHome_0098","","","","Відвали.","","","",""
"Integrated","ZagreusHome_","0099","ZagreusHome_0099","","","","Баааа....","","","",""
"Integrated","ZagreusHome_","0100","ZagreusHome_0100","","","","Я... ніяк до цього не звикну.","","","",""
"Integrated","ZagreusHome_","0101","ZagreusHome_0101","","","","Бррр...","","","",""
"Integrated","ZagreusHome_","0102","ZagreusHome_0102","","","","Ну...","","","",""
"Integrated","ZagreusHome_","0103","ZagreusHome_0103","","","","Ну що ж, час знову йти помирати.","","","",""
"Integrated","ZagreusHome_","0104","ZagreusHome_0104","","","","<Зітхає>","","","",""
"Integrated","ZagreusHome_","0105","ZagreusHome_0105","","","","Ніч і Темрява, ведіть мене.","","","",""
"Integrated","ZagreusHome_","0106","ZagreusHome_0106","","","","Ось.","","","",""
"Integrated","ZagreusHome_","0107","ZagreusHome_0107","","","","Дякую тобі, Нікс.","","","",""
"Integrated","ZagreusHome_","0108","ZagreusHome_0108","","","","Ну гаразд.","","","",""
"Integrated","ZagreusHome_","0109","ZagreusHome_0109","","","","Як ви смієте, пане.","","","",""
"Integrated","ZagreusHome_","0129","ZagreusHome_0129","","","","Нумо поглянемо.","","","",""
"Integrated","ZagreusHome_","0130","ZagreusHome_0130","","","","Сувеніри містять в собі силу.","","","",""
"Integrated","ZagreusHome_","0131","ZagreusHome_0131","","","","Тут ще нічого немає.","","","",""
"Integrated","ZagreusHome_","0132","ZagreusHome_0132","","","","Що обрати.","","","",""
"Integrated","ZagreusHome_","0133","ZagreusHome_0133","","","","Котрий з них.","","","",""
"Integrated","ZagreusHome_","0134","ZagreusHome_0134","","","","Нове доповнення до старої колекції.","","","",""
"Integrated","ZagreusHome_","0135","ZagreusHome_0135","","","","Оберу цей.","","","",""
"Integrated","ZagreusHome_","0136","ZagreusHome_0136","","","","Все готово.","","","",""
"Integrated","ZagreusHome_","0137","ZagreusHome_0137","","","","Може допомогти.","","","",""
"Integrated","ZagreusHome_","0138","ZagreusHome_0138","","","","Потрібно знайти ключ.","","","",""
"Integrated","ZagreusHome_","0139","ZagreusHome_0139","","","","Потрібен ключ.","","","",""
"Integrated","ZagreusHome_","0140","ZagreusHome_0140","","","","Міцно запечатано.","","","",""
"Integrated","ZagreusHome_","0141","ZagreusHome_0141","","","","Поки що не відкрити.","","","",""
"Integrated","ZagreusHome_","0142","ZagreusHome_0142","","","","Зачинено.","","","",""
"Integrated","ZagreusHome_","0143","ZagreusHome_0143","","","","Ось так!","","","",""
"Integrated","ZagreusHome_","0144","ZagreusHome_0144","","","","Відчиняйся.","","","",""
"Integrated","ZagreusHome_","0145","ZagreusHome_0145","","","","Так, має бути достатньо.","","","",""
"Integrated","ZagreusHome_","0146","ZagreusHome_0146","","","","Я можу краще.","","","",""
"Integrated","ZagreusHome_","0147","ZagreusHome_0147","","","","Хочеться думати, що я чомусь там навчився.","","","",""
"Integrated","ZagreusHome_","0148","ZagreusHome_0148","","","","Ау, ну що, знову?","","","",""
"Integrated","ZagreusHome_","0149","ZagreusHome_0149","","","","Просто потрібно спробувати знову.","","","",""
"Integrated","ZagreusHome_","0150","ZagreusHome_0150","","","","Потрібно продовжувати.","","","",""
"Integrated","ZagreusHome_","0151","ZagreusHome_0151","","","","Ще раз.","","","",""
"Integrated","ZagreusHome_","0152","ZagreusHome_0152","","","","Вперед.","","","",""
"Integrated","ZagreusHome_","0153","ZagreusHome_0153","","","","Уперед.","","","",""
"Integrated","ZagreusHome_","0154","ZagreusHome_0154","","","","Погнали.","","","",""
"Integrated","ZagreusHome_","0155","ZagreusHome_0155","","","","Дороги назад немає.","","","",""
"Integrated","ZagreusHome_","0156","ZagreusHome_0156","","","","Бувайте, усі.","","","",""
"Integrated","ZagreusHome_","0157","ZagreusHome_0157","","","","Темряво, дай мені сили.","","","",""
"Integrated","ZagreusHome_","0158","ZagreusHome_0158","","","","Ноче, дай мені сили.","","","",""
"Integrated","ZagreusHome_","0159","ZagreusHome_0159","","","","Темрява - це сила.","","","",""
"Integrated","ZagreusHome_","0160","ZagreusHome_0160","","","","Ніч і темрява.","","","",""
"Integrated","ZagreusHome_","0165","ZagreusHome_0165","","","","Якщо ти наполягаєш...!","","","",""
"Integrated","ZagreusHome_","0170","ZagreusHome_0170","","","","Ці двоє знову за своє. Мені краще триматися якомога далі.","","","",""
"Integrated","ZagreusHome_","0173","ZagreusHome_0173","","","","...Здається ці двоє знову зчепилися. Краще мені в це не лізти.","","","",""
"Unused","ZagreusHome_","0174","ZagreusHome_0174","","","","...Здається ці двоє вирішили подружитись. Не варто мені в це лізти.","","","",""
"Integrated","ZagreusHome_","0175","ZagreusHome_0175","","","","Пустун, я? Я просто хотів оглянути речі Батька.","","","",""
"Integrated","ZagreusHome_","0176","ZagreusHome_0176","","","","Говори тихіше, старий, я тут скрадатись намагаюся...!","","","",""
"Integrated","ZagreusHome_","0177","ZagreusHome_0177","","","","Я сказав, стули пельку, старий!","","","",""
"Integrated","ZagreusHome_","0184","ZagreusHome_0184","","","","Ум, Мег...?","","","",""
"Integrated","ZagreusHome_","0189","ZagreusHome_0189","","","","Так, Нікс. Я вдячний, що ти зв'язалась з нею, та пояснила їй в якій ситуації я опинився.","","","",""
"Unused","ZagreusHome_","0199","ZagreusHome_0199","","","","Я, ум, я вже йду, Дузо, але, можливо іншим разом, думаю так! Я був би не проти, справді!","","","",""
"Integrated","ZagreusHome_","0207","ZagreusHome_0207","","","","Це... мені прикро це чути.. Дякую, що розповів мені. Здається, що вона була і справді чудовою.","","","",""
"Integrated","ZagreusHome_","0208","ZagreusHome_0208","","","","Приятелю, якщо ти не проти, я був би не проти якби ти розповів мені трохи більше про свою музу. Еврідіку.","","","",""
"Unused","ZagreusHome_","0212","ZagreusHome_0212","","","","Орфей, здається, вірить абсолютно всьому. Спочатку я думав, що буде погано, розповідати йому байки, але, здається, що це єдиний спосіб підняти йому настрій.","","","",""
"Integrated","ZagreusHome_","0233","ZagreusHome_0233","","","","У будь-якому разі, для мене там нічого не залишилося.","","","",""
"Unused","ZagreusHome_","0237","ZagreusHome_0237","","","","Орфей вже не співав пісень боги знають скільки. Тепер Батько просто ігнорує його.","","","",""
"Integrated","ZagreusHome_","0238","ZagreusHome_0238","","","","Не хвилюйся, приятелю. Батько не примусить тебе співати, якщо ти сам цього не захочеш. Мене не буде деякий час, тому... бережи себе.","","","",""
"Integrated","ZagreusHome_","0241","ZagreusHome_0241","","","","Дякую тобі за усю твою старанну працю...!","","","",""
"Integrated","ZagreusHome_","0242","ZagreusHome_0242","","","","І, ось вона втекла знову....","","","",""
"Integrated","ZagreusHome_","0244","ZagreusHome_0244","","","","Дузо...?","","","",""
"Integrated","ZagreusHome_","0246","ZagreusHome_0246","","","","...Вау. Вона навіть не дочекалася моєї відповіді.","","","",""
"Unused","ZagreusHome_","0247","ZagreusHome_0247","","","","Краще, ніж я міг собі уявити, Нікс. Я вдячний, що ти знайшла мені таку чудову заміну.","","","",""
"Integrated","ZagreusHome_","0258","ZagreusHome_0258","","","","Що я можу сказати, я намагаюся.","","","",""
"Integrated","ZagreusHome_","0261","ZagreusHome_0261","","","","Сподіваюсь, твоя правда.","","","",""
"Integrated","ZagreusHome_","0264","ZagreusHome_0264","","","","Вже краще, ніж нічого.","","","",""
"Integrated","ZagreusHome_","0265","ZagreusHome_0265","","","","Я слухаю!","","","",""
"Integrated","ZagreusHome_","0266","ZagreusHome_0266","","","","Я хочу прилягти.","","","",""
"Integrated","ZagreusHome_","0267","ZagreusHome_0267","","","","Що нового.","","","",""
"Integrated","ZagreusHome_","0268","ZagreusHome_0268","","","","Про що там бурмочуть ці тіні.","","","",""
"Integrated","ZagreusHome_","0269","ZagreusHome_0269","","","","Охання та ахання.","","","",""
"Integrated","ZagreusHome_","0270","ZagreusHome_0270","","","","Ці тіні постійно бродять без діла.","","","",""
"Integrated","ZagreusHome_","0271","ZagreusHome_0271","","","","Ну, побачимося пізніше.","","","",""
"Integrated","ZagreusHome_","0272","ZagreusHome_0272","","","","Бережи себе.","","","",""
"Integrated","ZagreusHome_","0273","ZagreusHome_0273","","","","До наступної зустрічі.","","","",""
"Integrated","ZagreusHome_","0274","ZagreusHome_0274","","","","Побачимось.","","","",""
"Integrated","ZagreusHome_","0275","ZagreusHome_0275","","","","Ще побачимося.","","","",""
"Integrated","ZagreusHome_","0276","ZagreusHome_0276","","","","До зустрічі.","","","",""
"Integrated","ZagreusHome_","0282","ZagreusHome_0282","","","","Досить дивно, але мені приємно це знати.","","","",""
"Integrated","ZagreusHome_","0284","ZagreusHome_0284","","","","Чекаю з нетерпінням.","","","",""
"Integrated","ZagreusHome_","0286","ZagreusHome_0286","","","","Ну, приємно було мати справу.","","","",""
"Integrated","ZagreusHome_","0296","ZagreusHome_0296","","","","Просто займаюся своїми справами.","","","",""
"Integrated","ZagreusHome_","0297","ZagreusHome_0297","","","","Веселіше, народ.","","","",""
"Integrated","ZagreusHome_","0298","ZagreusHome_0298","","","","Там-да-дам...","","","",""
"Integrated","ZagreusHome_","0299","ZagreusHome_0299","","","","Ла-ді-даа...","","","",""
"Integrated","ZagreusHome_","0300","ZagreusHome_0300","","","","Хм-хмм-хммм.","","","",""
"Integrated","ZagreusHome_","0301","ZagreusHome_0301","","","","Скільки вже разів?","","","",""
"Integrated","ZagreusHome_","0302","ZagreusHome_0302","","","","Який вже це раз?","","","",""
"Integrated","ZagreusHome_","0303","ZagreusHome_0303","","","","Скільки б разів не потребувалося.","","","",""
"Integrated","ZagreusHome_","0304","ZagreusHome_0304","","","","Просто потрібно продовжувати.","","","",""
"Integrated","ZagreusHome_","0305","ZagreusHome_0305","","","","Вже стільки спроб?","","","",""
"Integrated","ZagreusHome_","0306","ZagreusHome_0306","","","","Трохи нового оформлення.","","","",""
"Integrated","ZagreusHome_","0307","ZagreusHome_0307","","","","Мало б трішки все оживити.","","","",""
"Integrated","ZagreusHome_","0308","ZagreusHome_0308","","","","Я просто встановлю це тут.","","","",""
"Integrated","ZagreusHome_","0309","ZagreusHome_0309","","","","Виглядає непогано.","","","",""
"Integrated","ZagreusHome_","0310","ZagreusHome_0310","","","","Дякую, Гіпносе!","","","",""
"Integrated","ZagreusHome_","0311","ZagreusHome_0311","","","","Дякую, хлопчику!","","","",""
"Integrated","ZagreusHome_","0312","ZagreusHome_0312","","","","Я дуже вдячний, Нікс.","","","",""
"Integrated","ZagreusHome_","0313","ZagreusHome_0313","","","","Красно дякую, пане.","","","",""
"Integrated","ZagreusHome_","0314","ZagreusHome_0314","","","","Будь ласка, Батьку.","","","",""
"Integrated","ZagreusHome_","0315","ZagreusHome_0315","","","","Дякую, приятелю.","","","",""
"Integrated","ZagreusHome_","0316","ZagreusHome_0316","","","","Дякую, пані Дузо.","","","",""
"Integrated","ZagreusHome_","0317","ZagreusHome_0317","","","","Я, аа, дякую.","","","",""
"Integrated","ZagreusHome_","0318","ZagreusHome_0318","","","","Дякую тобі, Тане.","","","",""
"Integrated","ZagreusHome_","0319","ZagreusHome_0319","","","","Навіть і не знаю, що сказати, приятелю.","","","",""
"Integrated","ZagreusHome_","0320","ZagreusHome_0320","","","","Дякую за це, пане.","","","",""
"Integrated","ZagreusHome_","0321","ZagreusHome_0321","","","","Ти надто добрий, приятелю.","","","",""
"Integrated","ZagreusHome_","0322","ZagreusHome_0322","","","","Моя вам подяка, Лорде Дядьку Зевс.","","","",""
"Integrated","ZagreusHome_","0323","ZagreusHome_0323","","","","Я вдячний, Дядьку.","","","",""
"Integrated","ZagreusHome_","0324","ZagreusHome_0324","","","","Леді Афіно, дякую.","","","",""
"Integrated","ZagreusHome_","0325","ZagreusHome_0325","","","","Для мене це честь, Афродіто.","","","",""
"Integrated","ZagreusHome_","0326","ZagreusHome_0326","","","","Леді Артемідо, ви шануєте мене.","","","",""
"Integrated","ZagreusHome_","0327","ZagreusHome_0327","","","","Дякую тобі, приятелю Діонісе.","","","",""
"Integrated","ZagreusHome_","0328","ZagreusHome_0328","","","","Володарю Хаос, дякую.","","","",""
"Integrated","ZagreusHome_","0329","ZagreusHome_0329","","","","Я вдячний.","","","",""
"To Be Integrated","ZagreusHome_","0330","ZagreusHome_0330","","","","Дякую.","","","",""
"Integrated","ZagreusHome_","0331","ZagreusHome_0331","","","","Я це ціную.","","","",""
"Darren","ZagreusHome_","0332","ZagreusHome_0332","","","","Я цього не забуду.","","","",""
"Integrated","ZagreusHome_","0333","ZagreusHome_0333","","","","Дякую за це.","","","",""
"Integrated","ZagreusHome_","0334","ZagreusHome_0334","","","","Ви занадто люб'язні.","","","",""
"Integrated","ZagreusHome_","0335","ZagreusHome_0335","","","","Я не слухаю.","","","",""
"Integrated","ZagreusHome_","0336","ZagreusHome_0336","","","","Має ж тут бути хоч щось варте уваги.","","","",""
"Unused","ZagreusHome_","0337","ZagreusHome_0337","","","","Мамо... чому...","","","",""
"Unused","ZagreusHome_","0338","ZagreusHome_0338","","","","Я ж прямо тут стою, старий.","","","",""
"Integrated","ZagreusHome_","0339","ZagreusHome_0339","","","","Ти ж знаєш, що я тебе чую, старий.","","","",""
"Integrated","ZagreusHome_","0340","ZagreusHome_0340","","","","Не так тут вже й акуратно, якщо чесно.","","","",""
"Integrated","ZagreusHome_","0341","ZagreusHome_0341","","","","Дзеркало стало сильнішим.","","","",""
"Integrated","ZagreusHome_","0342","ZagreusHome_0342","","","","Дзеркало стало ще сильнішим.","","","",""
"Integrated","ZagreusHome_","0343","ZagreusHome_0343","","","","Я можу зробити що завгодно.","","","",""
"Integrated","ZagreusHome_","0344","ZagreusHome_0344","","","","Більше способів збільшити свою силу.","","","",""
"Integrated","ZagreusHome_","0345","ZagreusHome_0345","","","","Готовий.","","","",""
"Integrated","ZagreusHome_","0346","ZagreusHome_0346","","","","Я готовий.","","","",""
"Integrated","ZagreusHome_","0347","ZagreusHome_0347","","","","Знову.","","","",""
"Integrated","ZagreusHome_","0348","ZagreusHome_0348","","","","Знову!","","","",""
"Integrated","ZagreusHome_","0349","ZagreusHome_0349","","","","Час іти.","","","",""
"Integrated","ZagreusHome_","0350","ZagreusHome_0350","","","","Вирушаймо.","","","",""
"Integrated","ZagreusHome_","0351","ZagreusHome_0351","","","","І, клац.","","","",""
"Integrated","ZagreusHome_","0352","ZagreusHome_0352","","","","Спробуймо це.","","","",""
"Integrated","ZagreusHome_","0353","ZagreusHome_0353","","","","Це, чом би й ні.","","","",""
"Integrated","ZagreusHome_","0354","ZagreusHome_0354","","","","Тоді це.","","","",""
"Integrated","ZagreusHome_","0355","ZagreusHome_0355","","","","Погляньмо, що тут у нас.","","","",""
"Integrated","ZagreusHome_","0356","ZagreusHome_0356","","","","Маю тут дещо новеньке.","","","",""
"Integrated","ZagreusHome_","0357","ZagreusHome_0357","","","","А це що таке.","","","",""
"Integrated","ZagreusHome_","0358","ZagreusHome_0358","","","","А це що тут у нас.","","","",""
"Integrated","ZagreusHome_","0359","ZagreusHome_0359","","","","Це виглядає цікаво.","","","",""
"Integrated","ZagreusHome_","0360","ZagreusHome_0360","","","","Що це робить.","","","",""
"Integrated","ZagreusHome_","0361","ZagreusHome_0361","","","","Поки що порожньо.","","","",""
"Integrated","ZagreusHome_","0362","ZagreusHome_0362","","","","Доведеться мені повернутися пізніше.","","","",""
"Integrated","ZagreusHome_","0363","ZagreusHome_0363","","","","Поки що сувенірів немає.","","","",""
"Integrated","ZagreusHome_","0364","ZagreusHome_0364","","","","Добре!","","","",""
"Integrated","ZagreusHome_","0365","ZagreusHome_0365","","","","Має згодитись.","","","",""
"Integrated","ZagreusHome_","0366","ZagreusHome_0366","","","","Моя вам подяка, Лорде Арес.","","","",""
"Integrated","ZagreusHome_","0367","ZagreusHome_0367","","","","Ну, це було захоплююче.","","","",""
"Integrated","ZagreusHome_","0368","ZagreusHome_0368","","","","Принаймні показав цій дурнуватій Гідрі.","","","",""
"Integrated","ZagreusHome_","0369","ZagreusHome_0369","","","","Дякую, дякую.","","","",""
"Integrated","ZagreusHome_","0370","ZagreusHome_0370","","","","Колись я дістанусь навіть далі.","","","",""
"Integrated","ZagreusHome_","0371","ZagreusHome_0371","","","","Цього разу було доволі непогано.","","","",""
"Integrated","ZagreusHome_","0372","ZagreusHome_0372","","","","Здається, далі мені поки не пройти.","","","",""
"Integrated","ZagreusHome_","0373","ZagreusHome_0373","","","","Чи це... музика?","","","",""
"Integrated","ZagreusHome_","0374","ZagreusHome_0374","","","","Не може бути... Орфею?","","","",""
"Integrated","ZagreusHome_","0375","ZagreusHome_0375","","","","Ти... чому...","","","",""
"Integrated","ZagreusHome_","0376","ZagreusHome_0376","","","","Привіт, Нікс.","","","",""
"Integrated","ZagreusHome_","0377","ZagreusHome_0377","","","","Блискуче.","","","",""
"Integrated","ZagreusHome_","0378","ZagreusHome_0378","","","","Зрозумів.","","","",""
"Integrated","ZagreusHome_","0379","ZagreusHome_0379","","","","Ні!","","","",""
"Integrated","ZagreusHome_","0380","ZagreusHome_0380","","","","Зовсім ні.","","","",""
"Integrated","ZagreusHome_","0381","ZagreusHome_0381","","","","Ти ж знаєш, що ні.","","","",""
"Integrated","ZagreusHome_","0382","ZagreusHome_0382","","","","Авжеж.","","","",""
"Integrated","ZagreusHome_","0383","ZagreusHome_0383","","","","Та ні, ні!","","","",""
"Integrated","ZagreusHome_","0384","ZagreusHome_0384","","","","Це непогана ідея.","","","",""
"Integrated","ZagreusHome_","0385","ZagreusHome_0385","","","","Гаразд!","","","",""
"Integrated","ZagreusHome_","0392","ZagreusHome_0392","","","","Добре, вона мене дістала.","","","",""
"Integrated","ZagreusHome_","0393","ZagreusHome_0393","","","","Чорт тебе забирай, Мег.","","","",""
"Integrated","ZagreusHome_","0394","ZagreusHome_0394","","","","Я за це тебе дістану, Мег.","","","",""
"Integrated","ZagreusHome_","0395","ZagreusHome_0395","","","","Угх. Скелети.","","","",""
"Integrated","ZagreusHome_","0396","ZagreusHome_0396","","","","Дурні скелети близнюки.","","","",""
"Integrated","ZagreusHome_","0397","ZagreusHome_0397","","","","Безкровні покидьки дістали мене.","","","",""
"Integrated","ZagreusHome_","0398","ZagreusHome_0398","","","","Угх... ця дурнувата Гідра...","","","",""
"Integrated","ZagreusHome_","0399","ZagreusHome_0399","","","","Угх, я дістану цю Гідру.","","","",""
"Integrated","ZagreusHome_","0400","ZagreusHome_0400","","","","Ненавиджу цю Гідру...","","","",""
"Unused","ZagreusHome_","0408","ZagreusHome_0408","","","","Принаймні ми можемо з нетерпінням чекати урочистого відкриття.","","","",""
"Integrated","ZagreusHome_","0409","ZagreusHome_0409","","","","Цербер знову знищив кімнату відпочинку?","","","",""
"Darren","ZagreusHome_","0411","ZagreusHome_0411","","","","Ей, як ти сюди потрапила?","","","",""
"Integrated","ZagreusHome_","0412","ZagreusHome_0412","","","","Що...?","","","",""
"Integrated","ZagreusHome_","0413","ZagreusHome_0413","","","","Орфею, ти повернувся! Я так підозрюю, що ти чув останні новини щодо мене. Але, зі мною все гаразд, можливо зникну ненадовго, треба подбати про дещо. Тому бережи себе, і не хвилюйся, приятелю. Батько не змусить тебе співати, якщо ти сам цього не хочеш.","","","",""
"Integrated","ZagreusHome_","0418","ZagreusHome_0418","","","","Ахіллес напевно був неймовірним за життя.","","","",""
"Integrated","ZagreusHome_","0419","ZagreusHome_0419","","","","Сама Афродіта. Цікаво чи дасть вона мені автограф.","","","",""
"Integrated","ZagreusHome_","0420","ZagreusHome_0420","","","","Бронзова зброя... груба робота, але ідея у них була правильна.","","","",""
