"ZagreusField","ID","ID","ID","","","","Line","","","Notes by DK"
"Integrated","ZagreusField_","0025","ZagreusField_0025","","","","Не варто було переходити мені дорогу.","","",""
"Integrated","ZagreusField_","0026","ZagreusField_0026","","","","Ну, давай.","","",""
"Integrated","ZagreusField_","0027","ZagreusField_0027","","","","Жалюгідно.","","",""
"Integrated","ZagreusField_","0028","ZagreusField_0028","","","","Як справи.","","",""
"Integrated","ZagreusField_","0029","ZagreusField_0029","","","","Приємно познайомитись.","","",""
"Integrated","ZagreusField_","0030","ZagreusField_0030","","","","Знову ти.","","",""
"Integrated","ZagreusField_","0031","ZagreusField_0031","","","","Треба йти далі.","","",""
"Integrated","ZagreusField_","0032","ZagreusField_0032","","","","Мені варто поспішити.","","",""
"Integrated","ZagreusField_","0033","ZagreusField_0033a","","","","Мені треба йти.","","",""
"Integrated","ZagreusField_","0034","ZagreusField_0034","","","","Тут нічого не залишилося.","","",""
"Integrated","ZagreusField_","0035","ZagreusField_0035","","","","Ось.","","",""
"Integrated","ZagreusField_","0036","ZagreusField_0036","","","","Ось!","","",""
"Integrated","ZagreusField_","0037","ZagreusField_0037","","","","Хах.","","",""
"Integrated","ZagreusField_","0038","ZagreusField_0038","","","","Т'хех.","","",""
"Integrated","ZagreusField_","0039","ZagreusField_0039","","","","Хмф.","","",""
"Integrated","ZagreusField_","0040","ZagreusField_0040","","","","Хе-хех.","","",""
"Integrated","ZagreusField_","0041","ZagreusField_0041","","","","Хех.","","",""
"Integrated","ZagreusField_","0042","ZagreusField_0042","","","","Попалися.","","",""
"Integrated","ZagreusField_","0043","ZagreusField_0043","","","","Наступний.","","",""
"Integrated","ZagreusField_","0044","ZagreusField_0044","","","","Наступний?","","",""
"Integrated","ZagreusField_","0045","ZagreusField_0045","","","","Чш.","","",""
"Integrated","ZagreusField_","0046","ZagreusField_0046","","","","Пфф.","","",""
"Integrated","ZagreusField_","0047","ZagreusField_0047","","","","Ідіот.","","",""
"Integrated","ZagreusField_","0048","ZagreusField_0048","","","","Легко.","","",""
"Integrated","ZagreusField_","0049","ZagreusField_0049","","","","Гарна спроба.","","",""
"Integrated","ZagreusField_","0050","ZagreusField_0050","","","","Добраніч.","","",""
"Integrated","ZagreusField_","0051","ZagreusField_0051","","","","Ти — мрець.","","",""
"Integrated","ZagreusField_","0052","ZagreusField_0052","","","","До зустрічі.","","",""
"Integrated","ZagreusField_","0053","ZagreusField_0053","","","","Мертвий.","","",""
"Integrated","ZagreusField_","0054","ZagreusField_0054","","","","Прощавай.","","",""
"Integrated","ZagreusField_","0055","ZagreusField_0055","","","","Мене поранено.","","",""
"Integrated","ZagreusField_","0056","ZagreusField_0056b","","","","Мені серйозно дісталося.","","",""
"Integrated","ZagreusField_","0057","ZagreusField_0057b","","","","Дідько, як же болить.","","",""
"Integrated","ZagreusField_","0058","ZagreusField_0058","","","","Унгх дістав мене.","","",""
"Integrated","ZagreusField_","0059","ZagreusField_0059","","","","Я більше не витримаю.","","",""
"Integrated","ZagreusField_","0060","ZagreusField_0060","","","","Унг, чорт забирай.","","",""
"Integrated","ZagreusField_","0061","ZagreusField_0061","","","","Добре, це було боляче.","","",""
"Integrated","ZagreusField_","0062","ZagreusField_0062","","","","Ох, це недобре.","","",""
"Integrated","ZagreusField_","0063","ZagreusField_0063","","","","Я при смерті.","","",""
"Integrated","ZagreusField_","0064","ZagreusField_0064","","","","Я мертвий чи що?","","",""
"Integrated","ZagreusField_","0065","ZagreusField_0065","","","","Мій дух згасає.","","",""
"Integrated","ZagreusField_","0066","ZagreusField_0066","","","","Де вся моя кров, а?","","",""
"Integrated","ZagreusField_","0067","ZagreusField_0067","","","","Ні...","","",""
"Integrated","ZagreusField_","0068","ZagreusField_0068","","","","Аахх!","","",""
"Integrated","ZagreusField_","0069","ZagreusField_0069","","","","Га-?","","",""
"Integrated","ZagreusField_","0070","ZagreusField_0070","","","","Га?!","","",""
"Integrated","ZagreusField_","0071","ZagreusField_0071","","","","Знову?!","","",""
"Integrated","ZagreusField_","0072","ZagreusField_0072","","","","Аннгх.","","",""
"Integrated","ZagreusField_","0073","ZagreusField_0073","","","","Аарргх!","","",""
"Integrated","ZagreusField_","0074","ZagreusField_0074","","","","Ні, ні!","","",""
"Integrated","ZagreusField_","0075","ZagreusField_0075","","","","Ах, чорт забирай! ","","",""
"Integrated","ZagreusField_","0076","ZagreusField_0076","","","","Ах, ти...!","","",""
"Integrated","ZagreusField_","0077","ZagreusField_0077","","","","Унх, ні! ","","",""
"Integrated","ZagreusField_","0078","ZagreusField_0078","","","","Га, як?","","",""
"Integrated","ZagreusField_","0079","ZagreusField_0079","","","","Уннггх!","","",""
"Integrated","ZagreusField_","0080","ZagreusField_0080","","","","Ні, чекайте...!","","",""
"Integrated","ZagreusField_","0081","ZagreusField_0081","","","","Я все.","","",""
"Integrated","ZagreusField_","0082","ZagreusField_0082","","","","Я все!","","",""
"Integrated","ZagreusField_","0083","ZagreusField_0083","","","","Не можу.","","",""
"Integrated","ZagreusField_","0084","ZagreusField_0084","","","","Я не можу!","","",""
"Integrated","ZagreusField_","0085","ZagreusField_0085","","","","Я пустий.","","",""
"Integrated","ZagreusField_","0086","ZagreusField_0086","","","","Я пустий!","","",""
"Integrated","ZagreusField_","0087","ZagreusField_0087","","","","Не можу цього зробити.","","",""
"Integrated","ZagreusField_","0088","ZagreusField_0088","","","","Не можу цього зробити!","","",""
"Integrated","ZagreusField_","0089","ZagreusField_0089","","","","Не зараз.","","",""
"Integrated","ZagreusField_","0090","ZagreusField_0090","","","","Не зараз!","","",""
"Integrated","ZagreusField_","0091","ZagreusField_0091","","","","Зараз...","","",""
"Integrated","ZagreusField_","0092","ZagreusField_0092","","","","Ось воно.","","",""
"Integrated","ZagreusField_","0093","ZagreusField_0093","","","","Сам напросився!","","",""
"Integrated","ZagreusField_","0094","ZagreusField_0094","","","","У тебе був шанс!","","",""
"Integrated","ZagreusField_","0095","ZagreusField_0095","","","","Годі цього лайна!","","",""
"Integrated","ZagreusField_","0096","ZagreusField_0096","","","","Ну все!","","",""
"Integrated","ZagreusField_","0097","ZagreusField_0097","","","","Ось і все!","","",""
"Integrated","ZagreusField_","0098","ZagreusField_0098a","","","","ГЕТЬ з моєї дороги!","","",""
"Integrated","ZagreusField_","0099","ZagreusField_0099b","","","","Ти знаєш, з ким маєш справу?","","",""
"Integrated","ZagreusField_","0100","ZagreusField_0100","","","","Побачимо...","","",""
"Integrated","ZagreusField_","0101","ZagreusField_0101a","","","","Куди тепер...?","","",""
"Integrated","ZagreusField_","0102","ZagreusField_0102","","","","Куди йти...","","",""
"Integrated","ZagreusField_","0103","ZagreusField_0103","","","","Що таке, Тіне?","","",""
"Integrated","ZagreusField_","0104","ZagreusField_0104","","","","Які новини, Духу?","","",""
"Greg","ZagreusField_","0105","ZagreusField_0105","","","","Скажи мені щось, Привиде.","","",""
"Integrated","ZagreusField_","0106","ZagreusField_0106","","","","Подарунок.","","",""
"Integrated","ZagreusField_","0107","ZagreusField_0107","","","","Боги промовили.","","",""
"Integrated","ZagreusField_","0108","ZagreusField_0108a","","","","Вам це подобається, боги?","","",""
"Integrated","ZagreusField_","0109","ZagreusField_0109","","","","Тут щось є.","","",""
"Integrated","ZagreusField_","0110","ZagreusField_0110","","","","Що це у нас тут.","","",""
"Integrated","ZagreusField_","0111","ZagreusField_0111","","","","Дякувати богам.","","",""
"Integrated","ZagreusField_","0112","ZagreusField_0112","","","","Я почуваюся сильнішим.","","",""
"Integrated","ZagreusField_","0113","ZagreusField_0113","","","","Я приймаю цей дар.","","",""
"Integrated","ZagreusField_","0114","ZagreusField_0114","","","","Ну, давай вже.","","",""
"Integrated","ZagreusField_","0115","ZagreusField_0115","","","","Дуже добре.","","",""
"Integrated","ZagreusField_","0116","ZagreusField_0116","","","","Краще.","","",""
"Integrated","ZagreusField_","0117","ZagreusField_0117","","","","Добре.","","",""
"Integrated","ZagreusField_","0118","ZagreusField_0118b","","","","Може стати в пригоді.","","",""
"Greg","ZagreusField_","0119","ZagreusField_0119","","","","Згубні поля.","","",""
"Greg","ZagreusField_","0120","ZagreusField_0120","","","","Краще дивитись під ноги.","","",""
"Greg","ZagreusField_","0121","ZagreusField_0121","","","","Тут нічого.","","",""
"Integrated","ZagreusField_","0122","ZagreusField_0122","","","","Темінь...","","",""
"Greg","ZagreusField_","0123","ZagreusField_0123","","","","Варто тут бути обережним.","","",""
"Integrated","ZagreusField_","0124","ZagreusField_0124","","","","Я щось чую.","","",""
"Greg","ZagreusField_","0125","ZagreusField_0125","","","","Прокляті спостерігають.","","",""
"Integrated","ZagreusField_","0126","ZagreusField_0126","","","","Тут щось є.","","",""
"Integrated","ZagreusField_","0127","ZagreusField_0127","","","","Ти. Тут, щоби виконати волю мого батька?","","",""
"Integrated","ZagreusField_","0128","ZagreusField_0128","","","","Ти. Підходь, потанцюємо.","","",""
"Integrated","ZagreusField_","0129","ZagreusField_0129","","","","Я володар своєї долі.","","",""
"Integrated","ZagreusField_","0130","ZagreusField_0130","","","","Я такого не терпітиму.","","",""
"Integrated","ZagreusField_","0131","ZagreusField_0131","","","","У мене є краща ідея.","","",""
"Integrated","ZagreusField_","0132","ZagreusField_0132","","","","Спробуємо це натомість.","","",""
"Integrated","ZagreusField_","0133","ZagreusField_0133","","","","Ось так краще.","","",""
"Integrated","ZagreusField_","0134","ZagreusField_0134","","","","Гмм.","","",""
"Integrated","ZagreusField_","0135","ZagreusField_0135","","","","Добре.","","",""
"Integrated","ZagreusField_","0136","ZagreusField_0136","","","","Та годі тобі, Мег. Хіба ми вже не дістали одне одного? Окрім того, я чув, що Сізіф почувається самотньо.","","",""
"Integrated","ZagreusField_","0139","ZagreusField_0139","","","","...Ну, я мусив запитати.","","",""
"Integrated","ZagreusField_","0140","ZagreusField_0140","","","","Ерм... ну тоді, напевно, гаразд, продовжуй.","","",""
"Integrated","ZagreusField_","0141","ZagreusField_0141","","","","Ти часом не Еврідіка...? Спільний знайомий, попросив мене тебе відшукати. У мене є повідомлення від Орфея. Він каже, що йому дуже шкода, стосовно того, що сталося. І повір мені, я можу сказати, що це так.","","",""
"Unused","ZagreusField_","0142","ZagreusField_0142","","","","О, знаєте, просто вирішив трохи прогулятися та й все. Але зробіть мені послугу, як побачите Сестер Фурій, скажіть їм, що я прямував туди, звідки прийшов, якщо ваша ласка...? Хоча, давайте я вам допоможу.","","",""
"Integrated","ZagreusField_","0144","ZagreusField_0144","","","","Почуття взаємні, Пане. Колись вам доведеться все мені розповісти про те, як ви обдурили Батька. Я міг би чомусь навчитися. А тепер, дозвольте мені допомогти вам піднятися.","","",""
"Integrated","ZagreusField_","0146","ZagreusField_0146","","","","Вгорі. Замовлена посилка, мабуть, десь загубилась.","","",""
"Integrated","ZagreusField_","0147","ZagreusField_0147","","","","Час внести тут деякі зміни.","","",""
"Integrated","ZagreusField_","0148","ZagreusField_0148","","","","Мені потрібна зброя.","","",""
"Integrated","ZagreusField_","0149","ZagreusField_0149","","","","Краще озброїтись.","","",""
"Integrated","ZagreusField_","0150","ZagreusField_0150","","","","А це тут звідки...? Ахіллесе?","","",""
"Integrated","ZagreusField_","0151","ZagreusField_0151","","","","Стигіусе, Клинок Підземного Царства; Мені потрібна твоя сила.","","",""
"Integrated","ZagreusField_","0152","ZagreusField_0152","","","","Егідо, Щит Хаоса; надай мені свою силу.","","",""
"Integrated","ZagreusField_","0153","ZagreusField_0153","","","","Варато, Вічний Спис; допоможи мені в дорозі.","","",""
"Integrated","ZagreusField_","0154","ZagreusField_0154","","","","Коронахт, Серце-Шукач; повбиваємо трохи.","","",""
"Integrated","ZagreusField_","0156","ZagreusField_0156","","","","Думаю, що спробую ось цю.","","",""
"Integrated","ZagreusField_","0157","ZagreusField_0157","","","","Щось не так...","","",""
"Integrated","ZagreusField_","0158","ZagreusField_0158","","","","Щось тут не так...","","",""
"Integrated","ZagreusField_","0159","ZagreusField_0159","","","","Ой-йой...","","",""
"Integrated","ZagreusField_","0160","ZagreusField_0160","","","","Схоже, я маю зробити вибір.","","",""
"Integrated","ZagreusField_","0161","ZagreusField_0161","","","","Боги хочуть, щоб я вибрав одного з них?","","",""
"Integrated","ZagreusField_","0162","ZagreusField_0162","","","","Боги хочуть, щоб я обрав.","","",""
"Integrated","ZagreusField_","0163","ZagreusField_0163","","","","Пробач, Афіно.","","",""
"Integrated","ZagreusField_","0164","ZagreusField_0164","","","","Пробачте, Лорде Зевс.","","",""
"Integrated","ZagreusField_","0165","ZagreusField_0165","","","","Пробач, Дядьку.","","",""
"Integrated","ZagreusField_","0166","ZagreusField_0166","","","","Пробач, Діонісе.","","",""
"Integrated","ZagreusField_","0167","ZagreusField_0167","","","","Здається, що я приречений у будь-якому випадку.","","",""
"Integrated","ZagreusField_","0168","ZagreusField_0168","","","","Отже, так тому і бути.","","",""
"Integrated","ZagreusField_","0169","ZagreusField_0169","","","","Мабуть, я її розізлив.","","",""
"Integrated","ZagreusField_","0170","ZagreusField_0170","","","","Мабуть, я його розізлив.","","",""
"Integrated","ZagreusField_","0171","ZagreusField_0171","","","","Здається, я її розізлив.","","",""
"Integrated","ZagreusField_","0172","ZagreusField_0172","","","","Здається, я його розізлив.","","",""
"Integrated","ZagreusField_","0173","ZagreusField_0173","","","","Ще побачимось, Мег.","","",""
"Integrated","ZagreusField_","0174","ZagreusField_0174","","","","Дістала я тебе тоді, Мег.","","",""
"Integrated","ZagreusField_","0175","ZagreusField_0175","","","","Підловив тебе.","","",""
"Integrated","ZagreusField_","0176","ZagreusField_0176","","","","В ім'я Аїда.","","",""
"Integrated","ZagreusField_","0177","ZagreusField_0177","","","","Час щось міняти.","","",""
"Integrated","ZagreusField_","0178","ZagreusField_0178","","","","Почуйте мене, владою даною мені.","","",""
"Integrated","ZagreusField_","0179","ZagreusField_0179","","","","Дякую, приятелю.","","",""
"Integrated","ZagreusField_","0180","ZagreusField_0180","","","","Завжди у радість, Хароне.","","",""
"Integrated","ZagreusField_","0181","ZagreusField_0181","","","","Не витрачай всього одразу, приятелю.","","",""
"Integrated","ZagreusField_","0182","ZagreusField_0182","","","","Приємно мати справу.","","",""
"Integrated","ZagreusField_","0183","ZagreusField_0183","","","","Далі я ще не бував.","","",""
"Integrated","ZagreusField_","0184","ZagreusField_0184","","","","Ніколи так далеко не бував.","","",""
"Integrated","ZagreusField_","0185","ZagreusField_0185","","","","Я в пастці...!","","",""
"Integrated","ZagreusField_","0186","ZagreusField_0186","","","","Ну ось, почалося...","","",""
"Integrated","ZagreusField_","0187","ZagreusField_0187","","","","Гадаєш, що дістав мене, га?","","",""
"Integrated","ZagreusField_","0188","ZagreusField_0188","","","","Вже майже...","","",""
"Integrated","ZagreusField_","0189","ZagreusField_0189","","","","Ще зовсім трохи...","","",""
"Integrated","ZagreusField_","0190","ZagreusField_0190","","","","Мушу триматись...","","",""
"Integrated","ZagreusField_","0191","ZagreusField_0191","","","","Ну це вже краще!","","",""
"Integrated","ZagreusField_","0192","ZagreusField_0192","","","","Ось так.","","",""
"Integrated","ZagreusField_","0193","ZagreusField_0193","","","","Тиша та спокій.","","",""
"Integrated","ZagreusField_","0194","ZagreusField_0194","","","","Нехай буде так.","","",""
"Integrated","ZagreusField_","0195","ZagreusField_0195","","","","Заходжу.","","",""
"Integrated","ZagreusField_","0196","ZagreusField_0196","","","","Вдар мене.","","",""
"Integrated","ZagreusField_","0197","ZagreusField_0197","","","","Я витримаю.","","",""
"Integrated","ZagreusField_","0198","ZagreusField_0198","","","","Чом би й ні.","","",""
"Integrated","ZagreusField_","0199","ZagreusField_0199","","","","Ну гаразд.","","",""
"Integrated","ZagreusField_","0200","ZagreusField_0200","","","","Хах...","","",""
"Integrated","ZagreusField_","0201","ZagreusField_0201","","","","Цікаво.","","",""
"Integrated","ZagreusField_","0202","ZagreusField_0202","","","","Де в біса...","","",""
"Integrated","ZagreusField_","0203","ZagreusField_0203","","","","Поглянемо...","","",""
"Integrated","ZagreusField_","0204","ZagreusField_0204","","","","Ну тоді...","","",""
"Integrated","ZagreusField_","0205","ZagreusField_0205","","","","Ну тоді, гаразд.","","",""
"Integrated","ZagreusField_","0206","ZagreusField_0206","","","","Уф.","","",""
"Integrated","ZagreusField_","0207","ZagreusField_0207","","","","Я не у формі.","","",""
"Integrated","ZagreusField_","0208","ZagreusField_0208","","","","Я занадто побитий.","","",""
"Integrated","ZagreusField_","0209","ZagreusField_0209","","","","Трохи отримав на горіхи.","","",""
"Integrated","ZagreusField_","0210","ZagreusField_0210","","","","Не впускає мене.","","",""
"Integrated","ZagreusField_","0211","ZagreusField_0211","","","","Серйозно?","","",""
"Integrated","ZagreusField_","0212","ZagreusField_0212","","","","Ахх небеса.","","",""
"Integrated","ZagreusField_","0213","ZagreusField_0213","","","","Я візьму те, що моє.","","",""
"Integrated","ZagreusField_","0214","ZagreusField_0214","","","","Відчиняйся.","","",""
"Integrated","ZagreusField_","0215","ZagreusField_0215","","","","Це ви, хах?","","",""
"Unused","ZagreusField_","0216","ZagreusField_0216","","","","Ця скарбниця моя.","","",""
"Integrated","ZagreusField_","0217","ZagreusField_0217","","","","Підходь і отримаєш.","","",""
"Integrated","ZagreusField_","0218","ZagreusField_0218","","","","Зробімо це швидко.","","",""
"Integrated","ZagreusField_","0219","ZagreusField_0219","","","","Не гаймо часу.","","",""
"Integrated","ZagreusField_","0220","ZagreusField_0220","","","","Нарешті.","","",""
"Integrated","ZagreusField_","0221","ZagreusField_0221","","","","Ось і все.","","",""
"Integrated","ZagreusField_","0222","ZagreusField_0222","","","","Час зібрати здобич.","","",""
"Greg","ZagreusField_","0223","ZagreusField_0223","","","","Тепер має бути відчинено.","","",""
"Integrated","ZagreusField_","0224","ZagreusField_0224","","","","Ось так.","","",""
"Integrated","ZagreusField_","0225","ZagreusField_0225","","","","Он там.","","",""
"Integrated","ZagreusField_","0226","ZagreusField_0226","","","","Ось так.","","",""
"Integrated","ZagreusField_","0227","ZagreusField_0227","","","","Ось воно.","","",""
"Integrated","ZagreusField_","0228","ZagreusField_0228","","","","Дуже добре.","","",""
"Integrated","ZagreusField_","0229","ZagreusField_0229","","","","Гарно.","","",""
"Integrated","ZagreusField_","0230","ZagreusField_0230","","","","Відмінно.","","",""
"Integrated","ZagreusField_","0231","ZagreusField_0231","","","","Підійде.","","",""
"Integrated","ZagreusField_","0232","ZagreusField_0232","","","","Я це візьму.","","",""
"Integrated","ZagreusField_","0233","ZagreusField_0233","","","","Усе моє.","","",""
"Integrated","ZagreusField_","0234","ZagreusField_0234","","","","Дякую, Батьку.","","",""
"Integrated","ZagreusField_","0235","ZagreusField_0235","","","","Мабуть, я залишу це собі.","","",""
"Integrated","ZagreusField_","0236","ZagreusField_0236","","","","Дякую.","","",""
"Integrated","ZagreusField_","0237","ZagreusField_0237","","","","Занадто спекотно.","","",""
"Integrated","ZagreusField_","0238","ZagreusField_0238","","","","Ще ні.","","",""
"Integrated","ZagreusField_","0239","ZagreusField_0239","","","","Ще ні!","","",""
"Greg","ZagreusField_","0240","ZagreusField_0240","","","","Ау.","","",""
"Greg","ZagreusField_","0241","ZagreusField_0241","","","","Ау!","","",""
"Greg","ZagreusField_","0242","ZagreusField_0242","","","","Ах.","","",""
"Greg","ZagreusField_","0243","ZagreusField_0243","","","","Ах!","","",""
"Integrated","ZagreusField_","0244","ZagreusField_0244","","","","Не втекти!","","",""
"Integrated","ZagreusField_","0245","ZagreusField_0245","","","","Не втекти!","","",""
"Integrated","ZagreusField_","0246","ZagreusField_0246","","","","Потрібно битися!","","",""
"Integrated","ZagreusField_","0247","ZagreusField_0247","","","","Застряг!","","",""
"Integrated","ZagreusField_","0248","ZagreusField_0248","","","","Марно!","","",""
"Integrated","ZagreusField_","0249","ZagreusField_0249","","","","Намарно!","","",""
"Integrated","ZagreusField_","0250","ZagreusField_0250","","","","О, так.","","",""
"Integrated","ZagreusField_","0251","ZagreusField_0251","","","","Дещо забув.","","",""
"Integrated","ZagreusField_","0252","ZagreusField_0252","","","","Досі зачинено.","","",""
"Integrated","ZagreusField_","0253","ZagreusField_0253","","","","Досі зачинено?","","",""
"Integrated","ZagreusField_","0254","ZagreusField_0254","","","","І що тепер.","","",""
"Integrated","ZagreusField_","0255","ZagreusField_0255","","","","І що тепер?","","",""
"Integrated","ZagreusField_","0256","ZagreusField_0256","","","","Краще поповнити запаси.","","",""
"Integrated","ZagreusField_","0257","ZagreusField_0257","","","","Має бути хоч щось, що мені знадобиться.","","",""
"Integrated","ZagreusField_","0258","ZagreusField_0258","","","","Добре...","","",""
"Integrated","ZagreusField_","0259","ZagreusField_0259","","","","Треба йти далі.","","",""
"Integrated","ZagreusField_","0260","ZagreusField_0260","","","","Ми рухаємося далі.","","",""
"Integrated","ZagreusField_","0261","ZagreusField_0261","","","","Стає тепліше.","","",""
"Integrated","ZagreusField_","0262","ZagreusField_0262","","","","О, а це вже щось.","","",""
"Integrated","ZagreusField_","0263","ZagreusField_0263","","","","Нарешті, зміна краєвиду.","","",""
"Integrated","ZagreusField_","0264","ZagreusField_0264","","","","Поля Асфоделю...","","",""
"Integrated","ZagreusField_","0265","ZagreusField_0265","","","","Дістався до Асфоделю...","","",""
"Integrated","ZagreusField_","0266","ZagreusField_0266","","","","Он там...","","",""
"Integrated","ZagreusField_","0267","ZagreusField_0267","","","","Все чисто.","","",""
"Integrated","ZagreusField_","0268","ZagreusField_0268","","","","Добре.","","",""
"Integrated","ZagreusField_","0269","ZagreusField_0269","","","","Фух.","","",""
"Integrated","ZagreusField_","0270","ZagreusField_0270","","","","Все готово.","","",""
"Integrated","ZagreusField_","0271","ZagreusField_0271","","","","Час отримати винагороду.","","",""
"Integrated","ZagreusField_","0272","ZagreusField_0272","","","","Я це візьму.","","",""
"Integrated","ZagreusField_","0273","ZagreusField_0273","","","","Моє.","","",""
"Integrated","ZagreusField_","0274","ZagreusField_0274","","","","Рухаємось далі.","","",""
"Integrated","ZagreusField_","0275","ZagreusField_0275","","","","У-гу.","","",""
"Integrated","ZagreusField_","0276","ZagreusField_0276","","","","Я візьму це.","","",""
"Integrated","ZagreusField_","0277","ZagreusField_0277","","","","Звичайно.","","",""
"Integrated","ZagreusField_","0278","ZagreusField_0278","","","","Авжеж.","","",""
"Unused","ZagreusField_","0279","ZagreusField_0279","","","","Гей, хлопці.","","",""
"Unused","ZagreusField_","0280","ZagreusField_0280","","","","Вперед, хлопці.","","",""
"Unused","ZagreusField_","0281","ZagreusField_0281","","","","Готові, хлопці?","","",""
"Unused","ZagreusField_","0282","ZagreusField_0282","","","","Ну от почалося.","","",""
"Unused","ZagreusField_","0283","ZagreusField_0283","","","","Знову ви, хлопці, хах.","","",""
"Integrated","ZagreusField_","0284","ZagreusField_0284","","","","Погляньте-но на це...","","",""
"Integrated","ZagreusField_","0285","ZagreusField_0285","","","","Вау...","","",""
"Integrated","ZagreusField_","0286","ZagreusField_0286","","","","Яка знахідка.","","",""
"Integrated","ZagreusField_","0287","ZagreusField_0287","","","","Ох...","","",""
"Integrated","ZagreusField_","0288","ZagreusField_0288","","","","Сувенір.","","",""
"Integrated","ZagreusField_","0289","ZagreusField_0289","","","","Я згасаю!","","",""
"Integrated","ZagreusField_","0290","ZagreusField_0290","","","","Угх, ні!","","",""
"Integrated","ZagreusField_","0291","ZagreusField_0291","","","","Недобре!","","",""
"Integrated","ZagreusField_","0292","ZagreusField_0292","","","","Аугхх!","","",""
"Integrated","ZagreusField_","0293","ZagreusField_0293","","","","Ні ні ні!","","",""
"Integrated","ZagreusField_","0294","ZagreusField_0294","","","","Ще не мертвий!","","",""
"Integrated","ZagreusField_","0295","ZagreusField_0295","","","","Ха, хах...","","",""
"Integrated","ZagreusField_","0296","ZagreusField_0296","","","","Просто розігріваюсь.","","",""
"Integrated","ZagreusField_","0297","ZagreusField_0297","","","","Оце вже інша розмова.","","",""
"Integrated","ZagreusField_","0298","ZagreusField_0298","","","","Енергія бурлить.","","",""
"Integrated","ZagreusField_","0299","ZagreusField_0299","","","","Яке полегшення.","","",""
"Integrated","ZagreusField_","0300","ZagreusField_0300","","","","Набагато краще.","","",""
"Integrated","ZagreusField_","0301","ZagreusField_0301","","","","Ось так.","","",""
"Integrated","ZagreusField_","0302","ZagreusField_0302","","","","Ммф.","","",""
"Integrated","ZagreusField_","0303","ZagreusField_0303","","","","Фух...","","",""
"Integrated","ZagreusField_","0304","ZagreusField_0304","","","","Вмри.","","",""
"Integrated","ZagreusField_","0305","ZagreusField_0305","","","","Вмри!","","",""
"Integrated","ZagreusField_","0306","ZagreusField_0306","","","","Геть.","","",""
"Integrated","ZagreusField_","0307","ZagreusField_0307","","","","Дурень.","","",""
"Integrated","ZagreusField_","0308","ZagreusField_0308","","","","Непотріб.","","",""
"Integrated","ZagreusField_","0309","ZagreusField_0309","","","","І що тепер!","","",""
"Integrated","ZagreusField_","0310","ZagreusField_0310","","","","Подобається?","","",""
"Integrated","ZagreusField_","0311","ZagreusField_0311","","","","Страждайте.","","",""
"Integrated","ZagreusField_","0312","ZagreusField_0312","","","","Ти мій.","","",""
"Integrated","ZagreusField_","0313","ZagreusField_0313","","","","Слабак.","","",""
"Integrated","ZagreusField_","0314","ZagreusField_0314","","","","Слабак!","","",""
"Integrated","ZagreusField_","0315","ZagreusField_0315","","","","Нікчема.","","",""
"Integrated","ZagreusField_","0316","ZagreusField_0316","","","","І що тепер.","","",""
"Integrated","ZagreusField_","0317","ZagreusField_0317","","","","Годі.","","",""
"Integrated","ZagreusField_","0318","ZagreusField_0318","","","","Дивіться хто.","","",""
