"Aphrodite","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Integrated","Aphrodite_","0161","Aphrodite_0161","","","Я знала, що ти дійдеш до розуму.","","",""
"Integrated","Aphrodite_","0162","Aphrodite_0162","","","А яка була альтернатива, ну дійсно?","","",""
"Integrated","Aphrodite_","0163","Aphrodite_0163","","","Йди за покликом серця.","","",""
"Integrated","Aphrodite_","0164","Aphrodite_0164","","","Твоє серце, ніколи не дасть тобі заблукати.","","",""
"Integrated","Aphrodite_","0165","Aphrodite_0165","","","Розумний вибір, любчику.","","",""
"Integrated","Aphrodite_","0166","Aphrodite_0166","","","Я вражу їх прямо у серце!","","",""
"Integrated","Aphrodite_","0167","Aphrodite_0167","","","Ускладнимо усе, гм?","","",""
"Integrated","Aphrodite_","0168","Aphrodite_0168","","","Ох, з превеликим задоволенням!","","",""
"Integrated","Aphrodite_","0169","Aphrodite_0169","","","Чиста пристрасть на підході!","","",""
"Integrated","Aphrodite_","0170","Aphrodite_0170","","","Яка наглість, любчику!!","","",""
"Integrated","Aphrodite_","0171","Aphrodite_0171","","","Ти кличеш мене зараз?","","",""
"Integrated","Aphrodite_","0160","Aphrodite_0160","","","Я знала, що у тебе чисте серце!","","",""
"Integrated","Aphrodite_","0161","Aphrodite_0161","","","Я знала, що ти дійдеш до розуму.","","",""
"Integrated","Aphrodite_","0162","Aphrodite_0162","","","А яка була альтернатива, ну дійсно?","","",""
"Integrated","Aphrodite_","0163","Aphrodite_0163","","","Йди за покликом серця.","","",""
"Integrated","Aphrodite_","0164","Aphrodite_0164","","","Твоє серце, ніколи не дасть тобі заблукати.","","",""
"Integrated","Aphrodite_","0165","Aphrodite_0165","","","Розумний вибір, любчику.","","",""
"Integrated","Aphrodite_","0166","Aphrodite_0166","","","Я вражу їх прямо у серце!","","",""
"Integrated","Aphrodite_","0167","Aphrodite_0167","","","Ускладнимо усе, гм?","","",""
"Integrated","Aphrodite_","0168","Aphrodite_0168","","","Ох, з превеликим задоволенням!","","",""
"Integrated","Aphrodite_","0169","Aphrodite_0169","","","Чиста пристрасть на підході!","","",""
"Integrated","Aphrodite_","0170","Aphrodite_0170","","","Яка наглість, любчику!!","","",""
"Integrated","Aphrodite_","0171","Aphrodite_0171","","","Ти кличеш мене зараз?","","",""
"Integrated","Aphrodite_","0172","Aphrodite_0172","","","А зараз я розіб'ю твоє серце!","","",""
"Integrated","Aphrodite_","0194","Aphrodite_0194","","","Ти розіб'єш моє серце, я розіб'ю твоє тіло, малий божку.","","",""
"Integrated","Aphrodite_","0195","Aphrodite_0195","","","Було б добре якби ти мені поклонявся, а не лютив мене.","","",""
"Integrated","Aphrodite_","0196","Aphrodite_0196","","","Не варто було б відмовляти моїй люб'язності знову.","","",""
