"Dionysus","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Integrated","Dionysus_","0099","Dionysus_0099","","","Ти зараз серйозно?","","",""
"Integrated","Dionysus_","0100","Dionysus_0100","","","Ти знущаєшся з мене?","","",""
"Integrated","Dionysus_","0101","Dionysus_0101","","","Я тупо в це не вірю, чувак.","","",""
"Darren","Dionysus_","0102","Dionysus_0102","","","Дай мені побути на самоті, чувак.","","",""
"Darren","Dionysus_","0103","Dionysus_0103","","","Попустися, чувак.","","",""
"Darren","Dionysus_","0104","Dionysus_0104","","","Ламаєш мені кайф, чувак.","","",""
"Darren","Dionysus_","0105","Dionysus_0105","","","Я тупо не вірю в це, чувак!","","",""
"Darren","Dionysus_","0106","Dionysus_0106","","","Воу, щооо?","","",""
"Darren","Dionysus_","0107","Dionysus_0107","","","Це дивно, чувак...!","","",""
"Darren","Dionysus_","0108","Dionysus_0108","","","Що, реально, чувак?","","",""
"Integrated","Dionysus_","0109","Dionysus_0109","","","Аааа, та ну, серйозно?","","",""
"Darren","Dionysus_","0110","Dionysus_0110","","","Гарна робота, Заг!","","",""
"Darren","Dionysus_","0111","Dionysus_0111","","","Знав, що ти впораєшся, чувак!","","",""
"Darren","Dionysus_","0112","Dionysus_0112","","","А оце вже було некисло!","","",""
"Darren","Dionysus_","0113","Dionysus_0113","","","Гарно зроблено, Заг!","","",""
"Darren","Dionysus_","0114","Dionysus_0114","","","Реально, хороша робота!","","",""
"Integrated","Dionysus_","0118","Dionysus_0118","","","","","",""
"Integrated","Dionysus_","0119","Dionysus_0119","","","","","",""
"Integrated","Dionysus_","0120","Dionysus_0120","","","","","",""
"Integrated","Dionysus_","0121","Dionysus_0121","","","","","",""
"Integrated","Dionysus_","0122","Dionysus_0122","","","","","",""
"Integrated","Dionysus_","0123","Dionysus_0123","","","","","",""
"Integrated","Dionysus_","0124","Dionysus_0124","","","","","",""
"Integrated","Dionysus_","0125","Dionysus_0125","","","","","",""
"Integrated","Dionysus_","0126","Dionysus_0126","","","","","",""
"Integrated","Dionysus_","0127","Dionysus_0127","","","","","",""
"Integrated","Dionysus_","0128","Dionysus_0128","","","","","",""
"Integrated","Dionysus_","0129","Dionysus_0129","","","","","",""
"Integrated","Dionysus_","0130","Dionysus_0130","","","","","",""
"Integrated","Dionysus_","0131","Dionysus_0131","","","","","",""
"Integrated","Dionysus_","0132","Dionysus_0132","","","","","",""
"Integrated","Dionysus_","0148","Dionysus_0148","","","Настав час для справжнього бенкету!","","",""
"Integrated","Dionysus_","0149","Dionysus_0149","","","Щось для всіх!","","",""
"Integrated","Dionysus_","0150","Dionysus_0150","","","Без проблем, чувак!","","",""
"Integrated","Dionysus_","0171","Dionysus_0171","","","Хахаха, ти ж знаєш, чувак!","","",""
"Integrated","Dionysus_","0172","Dionysus_0172","","","Ох ми сьогодні побенкетуємо!","","",""
"Integrated","Dionysus_","0173","Dionysus_0173","","","Ооо, ти по лікоть у біді, Заг!","","",""
"Integrated","Dionysus_","0174","Dionysus_0174","","","Тааак, чувак, ти знаєш що і як!","","",""
"Integrated","Dionysus_","0175","Dionysus_0175","","","Хах, тоді, твоє здоров'я, чувак!","","",""
"Integrated","Dionysus_","0176","Dionysus_0176","","","Це відвально-правильне рішення, чувак!","","",""
"Integrated","Dionysus_","0177","Dionysus_0177","","","Для чого так робити, чувак! Ми так гарно проводили час!","","",""
"Integrated","Dionysus_","0178","Dionysus_0178","","","Ненавиджу, бути кислим в таких випадках, Заг. Що я мав зробити?","","",""
"Integrated","Dionysus_","0179","Dionysus_0179","","","Уух, щось я кисло почуваюсь, чувак, ну тобто, що взагалі сталось?","","",""
