"Demeter","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Demeter_","188","Demeter_0188","","","","Насилу вірю в це.","","",""
"Integrated","Demeter_","189","Demeter_0189","","","","О, дійсно?","","",""
"Integrated","Demeter_","190","Demeter_0190","","","","Гарно зроблено, мій маленький паростку.","","",""
"Darren","Demeter_","191","Demeter_0191","","","","Я дуже тобою пишаюся, юний Загрею.","","",""
"Darren","Demeter_","192","Demeter_0192","","","","Бути цього не може.","","",""
"Darren","Demeter_","193","Demeter_0193","","","","І що це таке відбувається?","","",""
"Darren","Demeter_","194","Demeter_0194","","","","Немає слів, Загрею!","","",""
"Darren","Demeter_","195","Demeter_0195","","","","","","",""
"Integrated","Demeter_","196","Demeter_0196","","","","","","",""
"Integrated","Demeter_","197","Demeter_0197","","","","","","",""
"Integrated","Demeter_","198","Demeter_0198","","","","","","",""
"Integrated","Demeter_","199","Demeter_0199","","","","","","",""
"Darren","Demeter_","200","Demeter_0200","","","","","","",""
"Integrated","Demeter_","201","Demeter_0201","","","","","","",""
"Integrated","Demeter_","202","Demeter_0202","","","","","","",""
"Integrated","Demeter_","203","Demeter_0203","","","","","","",""
"Integrated","Demeter_","204","Demeter_0204","","","","","","",""
"Integrated","Demeter_","205","Demeter_0205","","","","","","",""
"Integrated","Demeter_","206","Demeter_0206","","","","","","",""
"Integrated","Demeter_","207","Demeter_0207","","","","","","",""
"Integrated","Demeter_","208","Demeter_0208","","","","","","",""
"Integrated","Demeter_","209","Demeter_0209","","","","","","",""
"Integrated","Demeter_","210","Demeter_0210","","","","","","",""
"Integrated","Demeter_","211","Demeter_0211","","","","","","",""
"Integrated","Demeter_","212","Demeter_0212","","","","","","",""
"Darren","Demeter_","213","Demeter_0213","","","","","","",""
"Integrated","Demeter_","214","Demeter_0214","","","","","","",""
"Integrated","Demeter_","215","Demeter_0215","","","","","","",""
"Darren","Demeter_","216","Demeter_0216","","","","","","",""
"Darren","Demeter_","217","Demeter_0217","","","","","","",""
"Darren","Demeter_","218","Demeter_0218","","","","","","",""
"Darren","Demeter_","219","Demeter_0219","","","","","","",""
"Darren","Demeter_","220","Demeter_0220","","","","","","",""
"Darren","Demeter_","221","Demeter_0221","","","","","","",""
"Integrated","Demeter_","222","Demeter_0222","","","","","","",""
"Integrated","Demeter_","223","Demeter_0223","","","","","","",""
"Integrated","Demeter_","224","Demeter_0224","","","","","","",""
"Integrated","Demeter_","225","Demeter_0225","","","","","","",""
"Integrated","Demeter_","226","Demeter_0226","","","","","","",""
"Integrated","Demeter_","227","Demeter_0227","","","","","","",""
"Integrated","Demeter_","228","Demeter_0228","","","","","","",""
"Integrated","Demeter_","229","Demeter_0229","","","","","","",""
"Greg","Demeter_","230","Demeter_0230","","","","Зимовий урожай!","","",""
"Integrated","Demeter_","231","Demeter_0231","","","","Що посієш, те й пожнеш!","","",""
"Integrated","Demeter_","232","Demeter_0232","","","","Зав'янь та помри!","","",""
"Integrated","Demeter_","233","Demeter_0233","","","","Розпочинаймо жнива!","","",""
"Greg","Demeter_","234","Demeter_0234","","","","","","",""
"Greg","Demeter_","235","Demeter_0235","","","","","","",""
"Greg","Demeter_","236","Demeter_0236","","","","","","",""
"Greg","Demeter_","237","Demeter_0237","","","","","","",""
"Greg","Demeter_","238","Demeter_0238","","","","","","",""
"Greg","Demeter_","239","Demeter_0239","","","","","","",""
"Greg","Demeter_","240","Demeter_0240","","","","","","",""
"Greg","Demeter_","241","Demeter_0241","","","","","","",""
"Greg","Demeter_","242","Demeter_0242","","","","","","",""
"Greg","Demeter_","243","Demeter_0243","","","","","","",""
"Greg","Demeter_","244","Demeter_0244","","","","","","",""
"Greg","Demeter_","245","Demeter_0245","","","","","","",""
"Greg","Demeter_","246","Demeter_0246","","","","","","",""
"Greg","Demeter_","247","Demeter_0247","","","","","","",""
"Greg","Demeter_","248","Demeter_0248","","","","","","",""
"Greg","Demeter_","249","Demeter_0249","","","","","","",""
"Greg","Demeter_","250","Demeter_0250","","","","","","",""
"Greg","Demeter_","251","Demeter_0251","","","","","","",""
"Greg","Demeter_","252","Demeter_0252","","","","","","",""
"Greg","Demeter_","253","Demeter_0253","","","","","","",""
"Greg","Demeter_","254","Demeter_0254","","","","","","",""
"Greg","Demeter_","255","Demeter_0255","","","","","","",""
"Greg","Demeter_","256","Demeter_0256","","","","","","",""
"Greg","Demeter_","257","Demeter_0257","","","","","","",""
"Greg","Demeter_","258","Demeter_0258","","","","","","",""
"Greg","Demeter_","259","Demeter_0259","","","","","","",""
"Greg","Demeter_","260","Demeter_0260","","","","","","",""
"Greg","Demeter_","261","Demeter_0261","","","","","","",""
"Greg","Demeter_","262","Demeter_0262","","","","","","",""
"Greg","Demeter_","263","Demeter_0263","","","","","","",""
"Greg","Demeter_","264","Demeter_0264","","","","","","",""
"Greg","Demeter_","265","Demeter_0265","","","","","","",""
"Greg","Demeter_","266","Demeter_0266","","","","","","",""
"Greg","Demeter_","267","Demeter_0267","","","","","","",""
"Greg","Demeter_","268","Demeter_0268","","","","","","",""
"Greg","Demeter_","269","Demeter_0269","","","","","","",""
"Greg","Demeter_","270","Demeter_0270","","","","","","",""
"Greg","Demeter_","271","Demeter_0271","","","","","","",""
"Greg","Demeter_","272","Demeter_0272","","","","","","",""
"Greg","Demeter_","273","Demeter_0273","","","","","","",""
"Greg","Demeter_","274","Demeter_0274","","","","","","",""
"Greg","Demeter_","275","Demeter_0275","","","","","","",""
"Greg","Demeter_","276","Demeter_0276","","","","","","",""
"Greg","Demeter_","277","Demeter_0277","","","","","","",""
"Greg","Demeter_","278","Demeter_0278","","","","","","",""
"Greg","Demeter_","279","Demeter_0279","","","","","","",""
"Greg","Demeter_","280","Demeter_0280","","","","","","",""
"Greg","Demeter_","281","Demeter_0281","","","","","","",""
"Greg","Demeter_","282","Demeter_0282","","","","","","",""
"Greg","Demeter_","283","Demeter_0283","","","","","","",""
"Greg","Demeter_","284","Demeter_0284","","","","","","",""
"Greg","Demeter_","285","Demeter_0285","","","","","","",""
"Greg","Demeter_","286","Demeter_0286","","","","","","",""
"Greg","Demeter_","287","Demeter_0287","","","","","","",""
"Greg","Demeter_","288","Demeter_0288","","","","","","",""
"Greg","Demeter_","289","Demeter_0289","","","","","","",""
"Greg","Demeter_","290","Demeter_0290","","","","","","",""
"Greg","Demeter_","291","Demeter_0291","","","","","","",""
"Greg","Demeter_","292","Demeter_0292","","","","","","",""
"Greg","Demeter_","293","Demeter_0293","","","","","","",""
"Greg","Demeter_","294","Demeter_0294","","","","","","",""
"Greg","Demeter_","295","Demeter_0295","","","","","","",""
"Greg","Demeter_","296","Demeter_0296","","","","","","",""
"Greg","Demeter_","297","Demeter_0297","","","","","","",""
"Greg","Demeter_","298","Demeter_0298","","","","","","",""
"Greg","Demeter_","299","Demeter_0299","","","","","","",""
"Greg","Demeter_","300","Demeter_0300","","","","","","",""
"Greg","Demeter_","301","Demeter_0301","","","","","","",""
"Greg","Demeter_","302","Demeter_0302","","","","","","",""
"Greg","Demeter_","303","Demeter_0303","","","","","","",""
"Greg","Demeter_","304","Demeter_0304","","","","","","",""
"Greg","Demeter_","305","Demeter_0305","","","","","","",""
"Greg","Demeter_","306","Demeter_0306","","","","","","",""
"Greg","Demeter_","307","Demeter_0307","","","","","","",""
"Greg","Demeter_","308","Demeter_0308","","","","","","",""
"Greg","Demeter_","309","Demeter_0309","","","","","","",""
"Greg","Demeter_","310","Demeter_0310","","","","","","",""
"Greg","Demeter_","311","Demeter_0311","","","","","","",""
"Greg","Demeter_","312","Demeter_0312","","","","","","",""
"Greg","Demeter_","313","Demeter_0313","","","","","","",""
"Greg","Demeter_","314","Demeter_0314","","","","","","",""
"Greg","Demeter_","315","Demeter_0315","","","","","","",""
"Greg","Demeter_","316","Demeter_0316","","","","","","",""
"Greg","Demeter_","317","Demeter_0317","","","","","","",""
"Greg","Demeter_","318","Demeter_0318","","","","","","",""
"Greg","Demeter_","319","Demeter_0319","","","","","","",""
"Greg","Demeter_","320","Demeter_0320","","","","","","",""
"Greg","Demeter_","321","Demeter_0321","","","","","","",""
"Greg","Demeter_","322","Demeter_0322","","","","","","",""
"Greg","Demeter_","323","Demeter_0323","","","","","","",""
"Greg","Demeter_","324","Demeter_0324","","","","","","",""
"Greg","Demeter_","325","Demeter_0325","","","","","","",""
"Greg","Demeter_","326","Demeter_0326","","","","","","",""
"Greg","Demeter_","327","Demeter_0327","","","","","","",""
"Greg","Demeter_","328","Demeter_0328","","","","","","",""
"Greg","Demeter_","329","Demeter_0329","","","","","","",""
"Greg","Demeter_","330","Demeter_0330","","","","","","",""
"Greg","Demeter_","331","Demeter_0331","","","","","","",""
"Greg","Demeter_","332","Demeter_0332","","","","","","",""
"Greg","Demeter_","333","Demeter_0333","","","","","","",""
"Greg","Demeter_","334","Demeter_0334","","","","","","",""
"Greg","Demeter_","335","Demeter_0335","","","","","","",""
"Greg","Demeter_","336","Demeter_0336","","","","","","",""
"Greg","Demeter_","337","Demeter_0337","","","","","","",""
"Greg","Demeter_","338","Demeter_0338","","","","","","",""
"Greg","Demeter_","339","Demeter_0339","","","","","","",""
"Greg","Demeter_","340","Demeter_0340","","","","","","",""
"Greg","Demeter_","341","Demeter_0341","","","","","","",""
"Greg","Demeter_","342","Demeter_0342","","","","","","",""
"Greg","Demeter_","343","Demeter_0343","","","","","","",""
"Greg","Demeter_","344","Demeter_0344","","","","","","",""
"Greg","Demeter_","345","Demeter_0345","","","","","","",""
"Greg","Demeter_","346","Demeter_0346","","","","","","",""
"Greg","Demeter_","347","Demeter_0347","","","","","","",""
"Greg","Demeter_","348","Demeter_0348","","","","","","",""
"Greg","Demeter_","349","Demeter_0349","","","","","","",""
"Greg","Demeter_","350","Demeter_0350","","","","","","",""
"Greg","Demeter_","351","Demeter_0351","","","","","","",""
"Greg","Demeter_","352","Demeter_0352","","","","","","",""
"Greg","Demeter_","353","Demeter_0353","","","","","","",""
"Greg","Demeter_","354","Demeter_0354","","","","","","",""
"Greg","Demeter_","355","Demeter_0355","","","","","","",""
"Greg","Demeter_","356","Demeter_0356","","","","","","",""
"Greg","Demeter_","357","Demeter_0357","","","","","","",""
"Greg","Demeter_","358","Demeter_0358","","","","","","",""
"Greg","Demeter_","359","Demeter_0359","","","","","","",""
"Greg","Demeter_","360","Demeter_0360","","","","","","",""
"Greg","Demeter_","361","Demeter_0361","","","","","","",""
"Greg","Demeter_","362","Demeter_0362","","","","","","",""
"Greg","Demeter_","363","Demeter_0363","","","","","","",""
"Greg","Demeter_","364","Demeter_0364","","","","","","",""
