"Artemis","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Integrated","Artemis_","0175","Artemis_0175","","","Я б сказала, що ти зробив правильний вибір!","","",""
"Integrated","Artemis_","0176","Artemis_0176","","","Ой-йой, хтось засмутиться!","","",""
"Integrated","Artemis_","0177","Artemis_0177","","","Ах добре, цього разу ти мене не розгнівав!","","",""
"Integrated","Artemis_","0178","Artemis_0178","","","Вони у мене на прицілі!","","",""
"Integrated","Artemis_","0179","Artemis_0179","","","Чую тебе, стріляю!","","",""
"Integrated","Artemis_","0180","Artemis_0180","","","Вони вже мертві!","","",""
"Integrated","Artemis_","0181","Artemis_0181","","","Добре, стріляю!","","",""
"Integrated","Artemis_","0182","Artemis_0182","","","Звичайно, чом би й ні!","","",""
"Integrated","Artemis_","0183","Artemis_0183","","","Ох, дозволь мені приступити, Загрею!","","",""
"Integrated","Artemis_","0184","Artemis_0184","","","Молися, щоб я випадково не промахнулася!","","",""
"Integrated","Artemis_","0199","Artemis_0199","","","Може ти добре бігаєш, Загрею, але ти погано ховаєшся.","","",""
"Integrated","Artemis_","0200","Artemis_0200","","","Розізлиш мене, і я вполюю тебе як оленя. Чув про них?","","",""
"Integrated","Artemis_","0201","Artemis_0201","","","Наступного разу не зли мене, і я тебе не застрелю, домовилися?","","",""
