"Chaos","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Chaos_","0149","Chaos_0149","","","","Похвальна спроба.","","",""
"Integrated","Chaos_","0150","Chaos_0150","","","","Ти утішив мене.","","",""
"Integrated","Chaos_","0151","Chaos_0151","","","","Ти зовсім інший, Сину Аїда.","","",""
"Integrated","Chaos_","0152","Chaos_0152","","","","Вражаюче досягнуто.","","",""
"Integrated","Chaos_","0153","Chaos_0153","","","","Мушу сказати, це було приємно.","","",""
"Integrated","Chaos_","0189","Chaos_0189","","","","Я викликаю тебе...","","",""
"Integrated","Chaos_","0190","Chaos_0190","","","","Сину Аїда...","","",""
"Integrated","Chaos_","0191","Chaos_0191","","","","Прийди, Сину Аїда.","","",""
"Integrated","Chaos_","0192","Chaos_0192","","","","Прийди до мене...","","",""
"Integrated","Chaos_","0193","Chaos_0193","","","","Слідуй за моїм голосом...","","",""
"Integrated","Chaos_","0194","Chaos_0194","","","","Повернися до безодні...","","",""
"Integrated","Chaos_","0195","Chaos_0195","","","","Увійди в безодню...","","",""
"Integrated","Chaos_","0196","Chaos_0196","","","","Падай в безодню...","","",""
"Integrated","Chaos_","0197","Chaos_0197","","","","Рекомендую зробити невеликий обхід.","","",""
"Integrated","Chaos_","0198","Chaos_0198","","","","Почуй мій поклик...","","",""
"Integrated","Chaos_","0199","Chaos_0199","","","","Ласкаво просимо.","","",""
"Integrated","Chaos_","0200","Chaos_0200","","","","З поверненням.","","",""
"Integrated","Chaos_","0201","Chaos_0201","","","","Це ти.","","",""
"Integrated","Chaos_","0202","Chaos_0202","","","","Ти повернувся.","","",""
"Integrated","Chaos_","0203","Chaos_0203","","","","Ти прибув.","","",""
"Integrated","Chaos_","0204","Chaos_0204","","","","Ти повернувся.","","",""
"Integrated","Chaos_","0205","Chaos_0205","","","","Сину Аїда.","","",""
"Integrated","Chaos_","0206","Chaos_0206","","","","Ти прийшов.","","",""
"Integrated","Chaos_","0207","Chaos_0207","","","","У мене гість.","","",""
"Integrated","Chaos_","0208","Chaos_0208","","","","Тебе тут чекають.","","",""
"Integrated","Chaos_","0209","Chaos_0209","","","","Ось ти де.","","",""
"Integrated","Chaos_","0210","Chaos_0210","","","","Ах.","","",""
"Integrated","Chaos_","0211","Chaos_0211","","","","<Сміх>","","",""
"Integrated","Chaos_","0212","Chaos_0212","","","","<Сміх>","","",""
"Integrated","Chaos_","0213","Chaos_0213","","","","<Сміх>","","",""
"Integrated","Chaos_","0214","Chaos_0214","","","","Ах-ха!","","",""
"Integrated","Chaos_","0215","Chaos_0215","","","","Чи ти забув?","","",""
"Integrated","Chaos_","0216","Chaos_0216","","","","Я так не думаю.","","",""
"Integrated","Chaos_","0217","Chaos_0217","","","","Не раджу.","","",""
"Integrated","Chaos_","0218","Chaos_0218","","","","Ні.","","",""
"Integrated","Chaos_","0219","Chaos_0219","","","","Ось.","","",""
"Integrated","Chaos_","0220","Chaos_0220","","","","Ось.","","",""
"Integrated","Chaos_","0221","Chaos_0221","","","","Узри.","","",""
"Integrated","Chaos_","0222","Chaos_0222","","","","Живи.","","",""
"Integrated","Chaos_","0223","Chaos_0223","","","","Я даю тобі силу.","","",""
"Integrated","Chaos_","0224","Chaos_0224","","","","Кумедно.","","",""
"Integrated","Chaos_","0225","Chaos_0225","","","","Цікаво.","","",""
"Integrated","Chaos_","0226","Chaos_0226","","","","Інтригуюче.","","",""
"Integrated","Chaos_","0227","Chaos_0227","","","","Дійсно.","","",""
"Integrated","Chaos_","0228","Chaos_0228","","","","Дійсно.","","",""
"Integrated","Chaos_","0229","Chaos_0229","","","","Отже...","","",""
"Integrated","Chaos_","0230","Chaos_0230","","","","Ну...","","",""
"Integrated","Chaos_","0231","Chaos_0231","","","","Добре.","","",""
"Integrated","Chaos_","0232","Chaos_0232","","","","Це підійде?","","",""
"Integrated","Chaos_","0233","Chaos_0233","","","","Можливо, це?","","",""
"Integrated","Chaos_","0234","Chaos_0234","","","","Можливо, це.","","",""
"Integrated","Chaos_","0235","Chaos_0235","","","","Тоді, це?","","",""
"Integrated","Chaos_","0236","Chaos_0236","","","","Тоді, цей результат.","","",""
"Integrated","Chaos_","0237","Chaos_0237","","","","Тоді, це?","","",""
"Integrated","Chaos_","0238","Chaos_0238","","","","Готово.","","",""
"Integrated","Chaos_","0239","Chaos_0239","","","","Дуже добре.","","",""
"Integrated","Chaos_","0240","Chaos_0240","","","","Зроблено.","","",""
"Integrated","Chaos_","0241","Chaos_0241","","","","Гарний улов.","","",""
"Integrated","Chaos_","0242","Chaos_0242","","","","Прекрасна особина.","","",""
"Integrated","Chaos_","0243","Chaos_0243","","","","Тримай це, Сину Аїда.","","",""
"Integrated","Chaos_","0244","Chaos_0244","","","","Особину отримано.","","",""
"Integrated","Chaos_","0245","Chaos_0245","","","","Особину одержано.","","",""
"Integrated","Chaos_","0246","Chaos_0246","","","","Ти впіймав особину.","","",""
"Integrated","Chaos_","0247","Chaos_0247","","","","Ти її перехитрив.","","",""
"Integrated","Chaos_","0248","Chaos_0248","","","","Гарна демонстрація.","","",""
"Integrated","Chaos_","0249","Chaos_0249","","","","Ти вислизнув.","","",""
"Integrated","Chaos_","0250","Chaos_0250","","","","Перешкоджено.","","",""
"Integrated","Chaos_","0251","Chaos_0251","","","","Перешкоджено, вкотре.","","",""
"Integrated","Chaos_","0252","Chaos_0252","","","","Переможений.","","",""
"Integrated","Chaos_","0253","Chaos_0253","","","","Переможений, вкотре.","","",""
"Integrated","Chaos_","0254","Chaos_0254","","","","У перемозі відмовлено.","","",""
"Integrated","Chaos_","0255","Chaos_0255","","","","Усунення.","","",""
"Integrated","Chaos_","0256","Chaos_0256","","","","Повернувся у безодню.","","",""
"Integrated","Chaos_","0257","Chaos_0257","","","","Неминуче.","","",""
"Integrated","Chaos_","0258","Chaos_0258","","","","Так.","","",""
"Integrated","Chaos_","0259","Chaos_0259","","","","Руйнування.","","",""
"Integrated","Chaos_","0260","Chaos_0260","","","","Спустошення.","","",""
"Integrated","Chaos_","0261","Chaos_0261","","","","Анігіляція.","","",""
"Integrated","Chaos_","0262","Chaos_0262","","","","Знищення.","","",""
"Integrated","Chaos_","0263","Chaos_0263","","","","Усунення.","","",""
"Integrated","Chaos_","0264","Chaos_0264","","","","Вимирання.","","",""
"Integrated","Chaos_","0265","Chaos_0265","","","","Ентропія.","","",""
"Integrated","Chaos_","0266","Chaos_0266","","","","Смерть.","","",""
"Integrated","Chaos_","0267","Chaos_0267","","","","Горіння.","","",""
"Integrated","Chaos_","0268","Chaos_0268","","","","Очищення.","","",""
"Integrated","Chaos_","0269","Chaos_0269","","","","Розчинення.","","",""
"Integrated","Chaos_","0270","Chaos_0270","","","","Винищення.","","",""
"Integrated","Chaos_","0271","Chaos_0271","","","","Руйнація.","","",""
"Integrated","Chaos_","0272","Chaos_0272","","","","Вражаюче.","","",""
"Integrated","Chaos_","0273","Chaos_0273","","","","Я бачу.","","",""
"Integrated","Chaos_","0274","Chaos_0274","","","","Вітання.","","",""
"Integrated","Chaos_","0275","Chaos_0275","","","","Ах, нарешті.","","",""
"Integrated","Chaos_","0331","Chaos_0331","","","","Це був один із можливих наслідків взяття мого подарунку.","","",""
"Integrated","Chaos_","0332","Chaos_0332","","","","Все це було відповідно до задуму Мойр; а може, ні.","","",""
"Integrated","Chaos_","0333","Chaos_0333","","","","Я очікував що скоро ти згинеш; але не мав уявлення як.","","",""
"Integrated","Chaos_","0334","Chaos_0334","","","","Кожна твоя кончина є нещастям, проте, і джерелом розваг.","","",""
